game_date,home_team,away_team,home_ml_odds,away_ml_odds,bookmaker,snapshot_timestamp,api_game_id
2023-10-24,DEN,LAL,-217,179,draftkings,2025-12-16T03:46:43.644974,fd55db2fa9ee5be1f108be5151e2ecb0
2023-10-25,TOR,MIN,-105,-114,draftkings,2025-12-16T03:46:46.105682,10b1b27d849e34c689b22889b08f847a
2023-10-25,MIA,DET,-416,330,draftkings,2025-12-16T03:46:46.105682,06ae6d0547da80d7854c003842247b43
2023-10-25,BKN,CLE,-105,-114,draftkings,2025-12-16T03:46:46.105682,a1cd3feca01c061a891025f73ef39b22
2023-10-25,IND,WAS,-270,220,draftkings,2025-12-16T03:46:46.105682,27ba27b22fe22e75d917a4bf9c7d0b1c
2023-10-25,ORL,HOU,-169,142,draftkings,2025-12-16T03:46:46.105682,13898382e266df26f137ea596fd51666
2023-10-25,NYK,BOS,140,-161,draftkings,2025-12-16T03:46:46.105682,866b0f885ae4bebcabf5a6d57eb4064a
2023-10-25,CHA,ATL,142,-169,draftkings,2025-12-16T03:46:46.105682,be1ee8db7ba20de87a087e8851f9b2f5
2023-10-25,GSW,PHX,-112,-107,draftkings,2025-12-16T03:46:43.644974,a44e83dd9ce3f2317ec644774daa859b
2023-10-26,MIL,PHI,-227,185,draftkings,2025-12-16T03:46:46.105682,2e060ed9ba9dad6f029bd2852dc4867a
2023-10-26,LAC,POR,-416,330,draftkings,2025-12-16T03:46:46.105682,ed8aebe011b77b2122a41dde9adf4247
2023-10-26,SAS,DAL,136,-161,draftkings,2025-12-16T03:46:46.105682,d8a9b6ff36694d9853817624776e76cb
2023-10-26,UTA,SAC,104,-125,draftkings,2025-12-16T03:46:46.105682,b283979adcfe094faf21120ef9893ed9
2023-10-26,MEM,NOP,-105,-114,draftkings,2025-12-16T03:46:46.105682,680c0ab3ff2ac6797e5b13e8811689ce
2023-10-26,CHI,OKC,-112,-107,draftkings,2025-12-16T03:46:46.105682,3e49df32408f1116cddcb9e621f07b86
2023-10-27,CHA,DET,-166,140,draftkings,2025-12-16T03:46:50.651463,fb58618d79303aca428cb84a323e7595
2023-10-27,MEM,DEN,170,-204,draftkings,2025-12-16T03:46:50.651463,d7343c18102c8038aa38e7cd43a03b1e
2023-10-27,ATL,NYK,-120,100,draftkings,2025-12-16T03:46:50.651463,5599e516749c718886accfd047f5d4df
2023-10-27,BOS,MIA,-312,250,draftkings,2025-12-16T03:46:50.651463,6878a08bdb7a92aacd25df65456289b8
2023-10-27,CLE,OKC,-153,129,draftkings,2025-12-16T03:46:50.651463,163d5bb8fc21f98d071a2c1d426eb080
2023-10-27,LAL,PHX,-129,110,draftkings,2025-12-16T03:46:46.105682,33c4c8f43aa2df7803f256b99017cd2e
2023-10-28,SAC,GSW,-147,124,draftkings,2025-12-16T03:46:50.651463,26d2c9d045e54ad73c714f352fb31f75
2023-10-28,NOP,NYK,-161,136,draftkings,2025-12-16T03:46:52.871537,67e504935ff51d19983716a98bf34ffe
2023-10-28,WAS,MEM,100,-125,draftkings,2025-12-16T03:46:52.871537,97f0e5496c5e6914707cf33f70e8f7be
2023-10-28,DET,CHI,-102,-117,draftkings,2025-12-16T03:46:52.871537,e1805141086e464e33d893e0e3af6890
2023-10-28,POR,ORL,124,-147,draftkings,2025-12-16T03:46:50.651463,de09cee9e9430e07fa6a53b458a00920
2023-10-28,TOR,PHI,145,-175,draftkings,2025-12-16T03:46:52.871537,cfe5c507ca7ff96a82fb176ff6dbbb71
2023-10-28,UTA,LAC,136,-161,draftkings,2025-12-16T03:46:50.651463,753ef68a873f56a2be516283c4faabe5
2023-10-28,DAL,BKN,-232,190,draftkings,2025-12-16T03:46:50.651463,d9efc57955141ca09569eb70b5dc87c3
2023-10-28,SAS,HOU,-135,110,draftkings,2025-12-16T03:46:50.651463,8ca53724f822568cb6810c0c3ba74675
2023-10-28,CLE,IND,-161,136,draftkings,2025-12-16T03:46:52.871537,60c9bce0d6813418c5ba9c02e8a172d9
2023-10-28,CHI,TOR,-129,110,draftkings,2025-12-16T03:46:50.651463,e826c4ab86d1d9c0a8b6bec5e740ba65
2023-10-29,MIN,MIA,-192,160,draftkings,2025-12-16T03:46:52.871537,92ac8b1b10e8b9bca8a8450a725b5984
2023-10-29,PHX,UTA,-232,190,draftkings,2025-12-16T03:46:52.871537,ab3b53c65b642aa7d3aa8d4b5a193aff
2023-10-29,OKC,DEN,129,-153,draftkings,2025-12-16T03:46:55.252211,3d4c502f3ca5f026ab17bcaf740a0737
2023-10-29,MIL,ATL,-277,225,draftkings,2025-12-16T03:46:55.252211,571baca00a5b2ade8a1128dc51cbc73e
2023-10-29,HOU,GSW,154,-185,draftkings,2025-12-16T03:46:55.252211,8bc6a91b67ec6811e72a21f336447ada
2023-10-29,PHI,POR,-476,370,draftkings,2025-12-16T03:46:55.252211,6c934cc4a37c263d05229c95d69bc9ce
2023-10-30,TOR,POR,-303,245,draftkings,2025-12-16T03:46:58.140380,ae362c45fa67161feb1dbbefad5aac13
2023-10-30,ATL,MIN,110,-129,draftkings,2025-12-16T03:46:58.140380,b5e892b56357874a85121dda5696e6c4
2023-10-30,IND,CHI,-166,140,draftkings,2025-12-16T03:46:58.140380,02e7a5fff41e0fcb119de4ea0637e92b
2023-10-30,SAC,LAL,-147,124,draftkings,2025-12-16T03:46:55.252211,8ad879c9ded7010edc2070a2850298a5
2023-10-30,WAS,BOS,370,-476,draftkings,2025-12-16T03:46:58.140380,455677df1d56350a03fdab920e17d014
2023-10-30,LAC,SAS,-400,295,draftkings,2025-12-16T03:46:55.252211,ed4f372db187f3c38f670ee49868417a
2023-10-30,CHA,BKN,-105,-114,draftkings,2025-12-16T03:46:58.140380,b01b96240d6be6dc918f5fd5de5e9400
2023-10-31,DEN,UTA,-344,270,draftkings,2025-12-16T03:46:58.140380,0103e538e5ca308aa2c7b3306468a621
2023-10-31,CLE,NYK,124,-147,draftkings,2025-12-16T03:47:00.877476,67bb83903abcbf5afb582cc34bbb559c
2023-10-31,NOP,GSW,-135,114,draftkings,2025-12-16T03:46:58.140380,e62f3adf2f9ad73fc940795d12118d93
2023-10-31,LAL,ORL,-153,129,draftkings,2025-12-16T03:46:58.140380,ed70d498b4fcaa2c58e3bdbdb89d39b6
2023-10-31,OKC,DET,-217,179,draftkings,2025-12-16T03:46:58.140380,70849081c4617bb778e171eb6b8f8c14
2023-10-31,MEM,DAL,120,-142,draftkings,2025-12-16T03:46:58.140380,55f6bdba9d39fcedff92947cdbc32abb
2023-10-31,MIL,MIA,-204,170,draftkings,2025-12-16T03:46:58.140380,574117fd1dcb161e967e31f71233f11d
2023-11-01,BOS,IND,-625,455,draftkings,2025-12-16T03:47:03.566884,9e4b1f09202b014ff89a76657be34113
2023-11-01,OKC,NOP,-161,136,draftkings,2025-12-16T03:47:03.566884,0766d697969e72b7db61b6d5dd6577b7
2023-11-01,NYK,CLE,-277,225,draftkings,2025-12-16T03:47:03.566884,54bc0b7ff80b7cb6322c185dbc2cb56f
2023-11-01,MIA,BKN,-238,195,draftkings,2025-12-16T03:47:03.566884,4878c4a92972b11a203ea6bbdc64f46f
2023-11-01,ATL,WAS,-312,250,draftkings,2025-12-16T03:47:03.566884,461da5940ac781ebbbe454ce5d0f7c45
2023-11-01,TOR,MIL,170,-204,draftkings,2025-12-16T03:47:03.566884,0bfb3b16896707f5d2b364da9de4d19c
2023-11-01,LAC,ORL,-294,240,draftkings,2025-12-16T03:47:00.877476,a8e2fbc5727b6e08de2a032ad899aa87
2023-11-01,PHX,SAS,-312,250,draftkings,2025-12-16T03:47:00.877476,26709f2762124a8dfeb82fe0ebb2058a
2023-11-01,DET,POR,-166,140,draftkings,2025-12-16T03:47:03.566884,80ef276018c492f53d3c94229942e855
2023-11-02,PHI,TOR,-357,285,draftkings,2025-12-16T03:47:06.536432,bf8b67194bcae7db579a6d32a7070f80
2023-11-02,GSW,SAC,-285,229,draftkings,2025-12-16T03:47:03.566884,477e39e1c9ba75fb4262f4f18a8690af
2023-11-02,DAL,CHI,-204,170,draftkings,2025-12-16T03:47:03.566884,c88f6a0b125c9073eb6b7131cda321a4
2023-11-02,LAL,LAC,-196,164,draftkings,2025-12-16T03:47:03.566884,82b00becb168468c31a279a155b9cd72
2023-11-02,UTA,MEM,-142,120,draftkings,2025-12-16T03:47:03.566884,0521f6fbdc78cc043878064b537629e8
2023-11-02,HOU,CHA,-135,114,draftkings,2025-12-16T03:47:03.566884,8550cb14a0692e46b289d11b88feb35f
2023-11-02,MIN,DEN,124,-147,draftkings,2025-12-16T03:47:03.566884,3ad255546a5450a3f50f7ed1f8a3c9ea
2023-11-03,NOP,DET,-294,240,draftkings,2025-12-16T03:47:06.536432,2619b14a4f29924b50fbc11d43b4b4fb
2023-11-03,CHI,BKN,-147,124,draftkings,2025-12-16T03:46:46.105682,93341c08b7240aa58d1fd2361e6473ce
2023-11-03,IND,CLE,-105,-114,draftkings,2025-12-16T03:46:46.105682,b9096deaffa2ba3f027a77bf350323b2
2023-11-03,PHX,SAS,-344,270,draftkings,2025-12-16T03:47:06.536432,645128f47f61359cbbccf9310382b344
2023-11-03,MIL,NYK,-250,204,draftkings,2025-12-16T03:47:08.600180,8169bd60e4575f712b6b1ec48bb6e966
2023-11-03,UTA,ORL,-105,-114,draftkings,2025-12-16T03:47:06.536432,81b04de4c3c099126e610c6cd7981e01
2023-11-04,POR,MEM,160,-192,draftkings,2025-12-16T03:46:46.105682,fc9a6fe708220313e2417d6ccff60aeb
2023-11-04,MIA,WAS,-344,270,draftkings,2025-12-16T03:46:46.105682,8e5ebfcb0d7d4b85e9fc84db9ca446bc
2023-11-04,PHI,PHX,-161,136,draftkings,2025-12-16T03:47:10.697552,2c889f9f7c43dade72f5fee8ad7570ac
2023-11-04,OKC,GSW,179,-217,draftkings,2025-12-16T03:47:08.600180,5a50c70de2c3cb06e390ab0d485d3411
2023-11-04,CHI,BKN,-185,154,draftkings,2025-12-16T03:47:08.600180,46b898bc745d2ab75648ebb037f43bb2
2023-11-04,DEN,DAL,-204,170,draftkings,2025-12-16T03:46:43.644974,c2f0a87268eea91678ffc1f23e68326f
2023-11-04,IND,CHA,-161,136,draftkings,2025-12-16T03:47:10.697552,ff40a3a051301137748e8b42749fb9b8
2023-11-04,ORL,LAL,140,-166,draftkings,2025-12-16T03:47:10.697552,cbf5075f87d28a6a4a35c2aa482c3390
2023-11-04,NOP,ATL,-147,124,draftkings,2025-12-16T03:47:10.697552,b6cb32e8a7e2fbd7f6883de2eb873793
2023-11-05,HOU,SAC,129,-153,draftkings,2025-12-16T03:47:10.697552,9fef41824fa216749a1cd45314dfea9b
2023-11-05,BKN,BOS,350,-454,draftkings,2025-12-16T03:47:10.697552,83ee5e4c7fa73a1c268ee3fdc68c39be
2023-11-05,MIN,UTA,-294,235,draftkings,2025-12-16T03:47:10.697552,a273c57a5955084ea9055b222d3b7daf
2023-11-05,DEN,CHI,-400,309,draftkings,2025-12-16T03:47:10.697552,c3736505684c6513be50abfdb30d95db
2023-11-05,CLE,GSW,-117,-102,draftkings,2025-12-16T03:47:12.609967,b86648a63f7e28c5ce0f16fb84c3f615
2023-11-05,DET,PHX,190,-232,draftkings,2025-12-16T03:47:12.609967,58055209b3752ce796a626d60c65cd40
2023-11-05,SAS,TOR,129,-153,draftkings,2025-12-16T03:47:12.609967,86b363251e0b4551ab87fd86a2bba527
2023-11-06,DAL,CHA,-588,440,draftkings,2025-12-16T03:47:12.609967,e88f193dfb5f26acde1883fe43103ad7
2023-11-06,POR,MEM,120,-142,draftkings,2025-12-16T03:47:12.609967,29b6e68a5996b7754d2688908ed5bad3
2023-11-07,ORL,DAL,-120,100,draftkings,2025-12-16T03:47:14.699930,88b6c95aa5c16857922d78700d0a11fa
2023-11-07,DET,GSW,200,-243,draftkings,2025-12-16T03:47:14.699930,69644724ea2b68cb009079f406db54e3
2023-11-07,IND,SAS,-312,250,draftkings,2025-12-16T03:47:14.699930,3dc423d708b971aac9e77ac7b206ad73
2023-11-07,PHI,WAS,-625,455,draftkings,2025-12-16T03:47:14.699930,4ef2d407cd6d9b3352624148f8336c68
2023-11-07,BKN,MIL,179,-217,draftkings,2025-12-16T03:47:14.699930,e6a2441741193c6f65b5263b25f83d7a
2023-11-07,NYK,LAC,110,-129,draftkings,2025-12-16T03:47:14.699930,c0a8b33495b752741400cdb04f83c141
2023-11-07,MIA,LAL,-117,-102,draftkings,2025-12-16T03:47:14.699930,115a32544666157f8090bc68618c60a9
