team,player,position,status,injury,source
Unknown,J. JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Unknown,K. PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Unknown,J. ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Unknown,N. DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Unknown,T. YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Unknown,J. BrownJaylen Brown,SF,"Wed, Dec 3",Illness,CBS
Unknown,J. TatumJayson Tatum,PF,"Wed, Oct 1",Achilles,CBS
Unknown,T. MannTerance Mann,SG,"Tue, Dec 2",Ribs,CBS
Unknown,C. ThomasCam Thomas,SG,"Fri, Nov 7",Hamstring,CBS
Unknown,H. HighsmithHaywood Highsmith,SF,"Sun, Oct 19",Knee,CBS
Unknown,C. SextonCollin Sexton,SG,"Wed, Dec 3",Thigh,CBS
Unknown,R. KalkbrennerRyan Kalkbrenner,C,"Wed, Dec 3",Ankle,CBS
Unknown,P. ConnaughtonPat Connaughton,SG,"Tue, Dec 2",Calf,CBS
Unknown,T. MannTre Mann,PG,"Tue, Dec 2",Ankle,CBS
Unknown,B. MillerBrandon Miller,SG,"Tue, Dec 2",Shoulder,CBS
Unknown,G. WilliamsGrant Williams,PF,"Sun, Nov 30",Knee,CBS
Unknown,J. GreenJosh Green,SF,"Sun, Nov 30",Shoulder,CBS
Unknown,K. HuerterKevin Huerter,SG,"Wed, Dec 3",Hamstring,CBS
Unknown,T. JonesTre Jones,PG,"Wed, Dec 3",Ankle,CBS
Unknown,J. SmithJalen Smith,PF,"Wed, Dec 3",Hamstring,CBS
Unknown,N. EssengueNoa Essengue,PF,"Wed, Dec 3",Shoulder,CBS
Unknown,I. OkoroIsaac Okoro,SF,"Wed, Dec 3",Back,CBS
Unknown,Z. CollinsZach Collins,C,"Wed, Dec 3",Wrist,CBS
Unknown,C. WhiteCoby White,PG,"Tue, Dec 2",Calf,CBS
Unknown,M. StrusMax Strus,SG,"Tue, Dec 2",Foot,CBS
Unknown,S. MerrillSam Merrill,SG,"Tue, Dec 2",Hand,CBS
Unknown,J. AllenJarrett Allen,C,"Sun, Nov 30",Finger,CBS
Unknown,L. Nance Jr.Larry Nance Jr.,PF,"Sun, Nov 30",Calf,CBS
Unknown,D. GaffordDaniel Gafford,C,"Wed, Dec 3",Ankle,CBS
Unknown,P. WashingtonPJ Washington,PF,"Wed, Dec 3",Ankle,CBS
Unknown,D. Lively IIDereck Lively II,C,"Tue, Dec 2",Foot,CBS
Unknown,D. ExumDante Exum,SG,"Thu, Nov 20",Knee,CBS
Unknown,K. IrvingKyrie Irving,PG,"Wed, Oct 1",Knee,CBS
Unknown,S. JonesSpencer Jones,SF,"Wed, Dec 3",Knee,CBS
Unknown,J. StrawtherJulian Strawther,SF,"Tue, Dec 2",Back,CBS
Unknown,A. GordonAaron Gordon,PF,"Sun, Nov 23",Hamstring,CBS
Unknown,C. BraunChristian Braun,SF,"Fri, Nov 14",Ankle,CBS
Unknown,D. RobinsonDuncan Robinson,SG,"Wed, Dec 3",Ankle,CBS
Unknown,B. KlintmanBobi Klintman,PF,"Tue, Dec 2",Ankle,CBS
Unknown,M. SasserMarcus Sasser,PG,"Mon, Dec 1",Hip,CBS
Unknown,A. HorfordAl Horford,C,"Wed, Dec 3",Back,CBS
Unknown,J. KumingaJonathan Kuminga,PF,"Wed, Dec 3",Ankle,CBS
Unknown,Q. PostQuinten Post,PF,"Wed, Dec 3",Ankle,CBS
Unknown,T. Jackson-DavisTrayce Jackson-Davis,C,"Wed, Dec 3",Knee,CBS
Unknown,A. TooheyAlex Toohey,SF,"Wed, Dec 3",Knee,CBS
Unknown,J. ButlerJimmy Butler,SF,"Wed, Dec 3",Knee,CBS
Unknown,S. CurryStephen Curry,PG,"Wed, Dec 3",Quadriceps,CBS
Unknown,D. Finney-SmithDorian Finney-Smith,PF,"Wed, Dec 3",Ankle,CBS
Unknown,T. EasonTari Eason,PF,"Wed, Dec 3",Oblique,CBS
Unknown,F. VanVleetFred VanVleet,PG,"Tue, Oct 21",Knee,CBS
Unknown,K. JonesKam Jones,PG,"Sun, Nov 30",Back,CBS
Unknown,Q. JacksonQuenton Jackson,SG,"Sun, Nov 30",Hamstring,CBS
Unknown,A. NesmithAaron Nesmith,SF,"Sat, Nov 15",Knee,CBS
Unknown,O. ToppinObi Toppin,PF,"Fri, Oct 31",Foot,CBS
Unknown,T. HaliburtonTyrese Haliburton,PG,"Tue, Oct 28",Achilles,CBS
Unknown,J. MillerJordan Miller,SG,"Wed, Dec 3",Back,CBS
Unknown,B. BogdanovicBogdan Bogdanovic,SG,"Tue, Dec 2",Hip,CBS
