team,player,position,status,injury,source
Atlanta Hawks,Jacob Toppin,F,Out,Dec 4: Toppin (shoulder) has been ruled out for Friday's game against the Nuggets.,ESPN
Atlanta Hawks,Jalen Johnson,F,Day-To-Day,"Dec 4: Johnson (calf) is questionable for Friday's game against the Nuggets, Brad Rowland of the Locked On Podcast Network reports.",ESPN
Atlanta Hawks,Kristaps Porzingis,C,Out,"Dec 4: Porzingis (illness) is questionable for Friday's game versus the Nuggets, Brad Rowland of the Locked On Podcast Network reports.",ESPN
Atlanta Hawks,N'Faly Dante,C,Day-To-Day,Dec 2: Dante (knee) is out for Sunday's game against the 76ers.,ESPN
Atlanta Hawks,Trae Young,G,Out,"Nov 29: Young (knee) will be re-evaluated by the Hawks' medical staff in two weeks, Ohm Youngmisuk of ESPN.com reports.",ESPN
Boston Celtics,Jaylen Brown,G,Out,"Dec 4: Brown (illness) will not play Thursday against the Wizards, according to NBA reporter Marc Stein.",ESPN
Boston Celtics,Jayson Tatum,F,Out,"Oct 9: The Celtics have not ruled Tatum (Achilles) out for the 2025-26 season, ESPN's Shams Charania reported on the Pat McAfee Show on Thursday.",ESPN
Brooklyn Nets,Drake Powell,G,Out,"Dec 4: Powell (knee) is out for Thursday's game against the Jazz, Erik Slater of ClutchPoints.com reports.",ESPN
Brooklyn Nets,Michael Porter Jr.,F,Out,"Dec 4: Porter (back) won't play Thursday against the Jazz, Erik Slater of ClutchPoints.com reports.",ESPN
Brooklyn Nets,Cam Thomas,G,Out,"Nov 7: Thomas has been diagnosed with a left hamstring strain and he will be re-evaluated in 3-4 weeks, Marc J. Spears of ESPN.com reports.",ESPN
Brooklyn Nets,Haywood Highsmith,F,Out,"Oct 19: Highsmith (knee) experienced swelling during rehab and will re-evaluated in eight weeks, Brett Siegel of ClutchPoints.com reports.",ESPN
Charlotte Hornets,Tre Mann,G,Day-To-Day,Dec 4: Mann (knee) is questionable for Friday's game against Toronto.,ESPN
