Feature,Value,SHAP,Abs_SHAP
foul_synergy_home,0.05,0.2372773,0.2372773
away_tov,0.168,0.20525488,0.20525488
away_ewma_foul_rate,0.2,-0.19544013,0.19544013
def_elo_diff,-30.0,-0.19455889,0.19455889
off_elo_diff,86.0,0.15178631,0.15178631
ewma_foul_synergy_home,0.05,-0.14764899,0.14764899
home_ewma_pace,102.58,-0.14184512,0.14184512
home_ewma_tov_pct,0.142,-0.0904294,0.0904294
home_composite_elo,1532.433333333333,-0.08285084,0.08285084
home_off_rating,116.2,0.07788128,0.07788128
off_rating_diff,4.200000000000003,0.07466654,0.07466654
home_tov,0.142,0.06573016,0.06573016
away_composite_elo,1504.433333333333,-0.06206467,0.06206467
away_ewma_tov_pct,0.168,-0.059885208,0.059885208
away_ewma_fta_rate,0.25,0.058071963,0.058071963
away_ewma_pace,101.61,-0.057397597,0.057397597
away_3in4,1.0,0.049224816,0.049224816
chaos_home,0.01344,0.046872083,0.046872083
home_ewma_3p_pct,0.35,-0.046212632,0.046212632
total_foul_environment,0.1,-0.04520111,0.04520111
ewma_foul_synergy_away,0.05,0.043469373,0.043469373
home_orb,0.314,0.042173013,0.042173013
away_ftr,0.284,-0.042028774,0.042028774
home_ewma_fta_rate,0.25,-0.036374092,0.036374092
away_back_to_back,0.0,-0.036171462,0.036171462
ewma_net_chaos,0.002080000000000002,-0.032139078,0.032139078
ewma_tov_diff,-0.026000000000000023,-0.030870054,0.030870054
away_ewma_stl_pct,0.08,0.029708836,0.029708836
fatigue_mismatch,1.0,-0.02937387,0.02937387
ewma_pace_diff,0.9699999999999989,-0.0246671,0.0246671
away_orb,0.287,0.023656126,0.023656126
home_ewma_3pa_per_100,35.0,-0.02351474,0.02351474
ewma_chaos_home,0.01344,-0.021650849,0.021650849
away_def_rating,111.5,-0.021432957,0.021432957
ewma_vol_3p_diff,0.0,0.021238144,0.021238144
efg_diff,0.0010000000000000009,0.018935418,0.018935418
vol_3p_diff,0.0,-0.016922042,0.016922042
away_ewma_3p_pct,0.35,-0.01637352,0.01637352
away_pace,101.61,-0.016232766,0.016232766
rest_advantage,-1.0,-0.016062282,0.016062282
injury_impact_abs,0.04999999999999999,0.015809383,0.015809383
chaos_away,0.011359999999999999,-0.01338361,0.01338361
injury_elo_interaction,1.3999999999999997,-0.012758073,0.012758073
home_ftr,0.292,0.012523704,0.012523704
def_rating_diff,0.7999999999999972,-0.012435801,0.012435801
away_ewma_3pa_per_100,35.0,-0.012114551,0.012114551
foul_synergy_away,0.05,-0.01169977,0.01169977
off_def_matchup_home,4.700000000000003,-0.011605582,0.011605582
away_net_rating,0.6,-0.011410164,0.011410164
net_chaos,0.002080000000000002,0.011366433,0.011366433
composite_elo_diff,28.0,-0.011328154,0.011328154
home_pace,102.58,0.01101965,0.01101965
sharp_total,220.0,0.010250403,0.010250403
ewma_chaos_away,0.011359999999999999,-0.008502185,0.008502185
home_def_rating,112.3,-0.008071423,0.008071423
away_off_rating,112.0,0.0069972365,0.0069972365
home_ewma_stl_pct,0.08,-0.005934192,0.005934192
home_rest_days,1.0,0.005722017,0.005722017
altitude_game,0.0,-0.0043316414,0.0043316414
injury_impact_diff,0.04999999999999999,0.0043041543,0.0043041543
home_3in4,1.0,-0.004090823,0.004090823
both_tired,0.0,-0.003498421,0.003498421
avg_pace,102.095,-0.0034336098,0.0034336098
off_def_matchup_away,-0.29999999999999716,-0.0028205274,0.0028205274
away_rest_days,2.0,-0.0016904231,0.0016904231
pace_diff,0.9699999999999989,0.0016497531,0.0016497531
injury_major,0.0,0.0014458385,0.0014458385
injury_rest_interaction,-0.04999999999999999,0.0013678105,0.0013678105
injury_impact_log,1.791759469228055,0.0010819698,0.0010819698
home_back_to_back,1.0,-0.0009735917,0.0009735917
away_efg,0.543,0.0008849351,0.0008849351
home_ewma_foul_rate,0.2,0.0007032873,0.0007032873
sharp_pace,102.095,-0.00051048695,0.00051048695
injury_impact_squared,0.0024999999999999988,-7.0827184e-05,7.0827184e-05
home_efg,0.544,-6.7285786e-05,6.7285786e-05
sharp_eff_diff,-0.0,0.0,0.0
net_rating_l10_diff,7.183000000000001,0.0,0.0
net_rating_l5_diff,1.318,0.0,0.0
ewma_efg_diff,0.0010000000000000009,0.0,0.0
home_ewma_efg,0.544,0.0,0.0
away_ewma_efg,0.543,0.0,0.0
net_rating_diff,3.1999999999999997,0.0,0.0
home_net_rating,3.8,0.0,0.0
net_rating_ewma_diff,0.2040989851344086,0.0,0.0
away_4in5,0.0,0.0,0.0
total_movement,0.0,0.0,0.0
is_steam_total,0.0,0.0,0.0
home_4in5,1.0,0.0,0.0
total_abs_movement,0.0,0.0,0.0
both_rested,0.0,0.0,0.0
injury_moderate,0.0,0.0,0.0
pace_up_game,1.0,0.0,0.0
pace_down_game,0.0,0.0,0.0
predicted_pace,102.095,0.0,0.0
injury_minor,1.0,0.0,0.0
injury_catastrophic,0.0,0.0,0.0
injury_impact_percentile,0.5,0.0,0.0
