n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,max_delta_step,avg_accuracy,avg_brier,avg_logloss,avg_roi,std_accuracy
700,3,0.03,0.8,0.8,10,0.2,0.1,1.0,1.0,1,0.6391925160019695,0.22320183140338207,0.638908281436177,24.68120172157502,0.013150566247131592
600,4,0.03,0.6,0.7,10,0.3,0.5,2.0,1.0,2,0.6383062530773019,0.2248550942501994,0.643190590117093,24.253585127491938,0.014258632082249718
700,4,0.027,0.8,0.8,10,0.2,0.1,1.0,1.0,1,0.6379123584441162,0.22564202392458363,0.6454992346344591,23.85724665698671,0.012254333621376637
600,5,0.027,0.6,0.7,10,0.3,0.5,2.0,1.0,2,0.6374199901526341,0.22631554691935274,0.6470093857621035,23.780693721164276,0.014053126058994671
600,5,0.03,0.6,0.75,10,0.3,0.5,2.0,1.0,2,0.6373215164943378,0.22727743017285063,0.6499448332841112,23.966258059253676,0.011435670935605284
600,5,0.03,0.6,0.7,10,0.3,0.75,2.0,1.0,2,0.637124569177745,0.22704211100289973,0.6492593236819305,23.580435703085584,0.01301939449023212
700,4,0.033,0.8,0.8,10,0.2,0.1,1.0,1.0,1,0.6365337272279665,0.2272298763476976,0.6502622638981388,23.81355782229221,0.009107615661070887
600,5,0.03,0.6,0.7,10,0.3,0.5,2.4,1.0,2,0.6364352535696701,0.22683757967248197,0.6486101725176768,23.351786590195818,0.014997767691577289
550,5,0.03,0.6,0.7,10,0.3,0.5,2.0,1.0,2,0.6362383062530773,0.22626607318546435,0.6466140234788847,23.73271460392355,0.013850872258014561
600,5,0.03,0.65,0.7,10,0.3,0.5,2.0,1.0,2,0.6360413589364844,0.22817945889310595,0.6521401996473665,23.025349755900113,0.012757565526894447
500,7,0.05,0.9500000000000001,0.8,1,0.1,0.01,1.0,1.0,0,0.6359428852781881,0.24198684982852986,0.7100821410968468,22.754012242350075,0.012961916734805543
700,4,0.03,0.8500000000000001,0.8,10,0.2,0.1,1.0,1.0,1,0.6358444116198917,0.22626309307802236,0.6473732867773152,23.78863499798331,0.014713823171814265
450,7,0.05,0.9,0.8,1,0.1,0.01,1.0,1.0,0,0.6358444116198917,0.23982852412130534,0.7032780430360386,22.953418072449583,0.011774089750968107
650,5,0.03,0.6,0.7,10,0.3,0.5,2.0,1.0,2,0.6357459379615953,0.22791982627228674,0.651418564172757,23.106672175398252,0.011371042890515775
500,7,0.05,0.9,0.8,1,0.15000000000000002,0.01,1.0,1.0,0,0.6355489906450024,0.2420139370002239,0.7110294067340253,22.73378411317903,0.014206851710617086
700,4,0.03,0.8,0.8500000000000001,10,0.2,0.1,1.0,1.0,1,0.6354505169867062,0.22650375172836404,0.6480656793532334,23.962014468368878,0.008260055923391733
700,4,0.03,0.8,0.8,10,0.25,0.1,1.0,1.0,1,0.6352535696701131,0.22670860597570588,0.6485137780026022,23.472785372233293,0.012277260364753299
600,5,0.03,0.6,0.7,10,0.35,0.5,2.0,1.0,2,0.6346627277203348,0.22736640954900725,0.6501114059586616,23.092785009342627,0.011588973211166738
600,5,0.03,0.6,0.7,10,0.3,0.5,2.0,1.0,2,0.634465780403742,0.2273555112933956,0.6497078159565465,23.568484342244453,0.01225433362137664
500,7,0.05,0.9,0.8,1,0.1,0.01,1.0,1.0,0,0.6340718857705564,0.24178477054969352,0.7117311133858506,22.885345060833984,0.00846186156925289
500,7,0.05,0.9,0.8,1,0.1,0.015,1.0,1.0,0,0.6337764647956672,0.2435805803411903,0.7153178584204999,22.474984336524006,0.013260713066561713
600,5,0.033,0.6,0.7,10,0.3,0.5,2.0,1.0,2,0.6336779911373707,0.22864991262367412,0.6538773284928873,22.99441888723477,0.012622310344984232
700,4,0.03,0.8,0.8,10,0.2,0.1,1.2,1.0,1,0.633481043820778,0.22668063232672275,0.6482726154905151,23.576302223181774,0.01125618958478272
700,4,0.03,0.8,0.8,10,0.2,0.1,1.0,1.0,1,0.6332840965041852,0.22681151144353132,0.6486536960154596,23.290805768551554,0.010465114008278363
