Date,Actual,Predicted,Model_Prob,Month
2024-11-04,0,0,0.041658144,2024-11
2024-11-04,0,1,0.96793693,2024-11
2024-11-04,0,0,0.09311371,2024-11
2024-11-04,1,0,0.02567583,2024-11
2024-11-04,0,0,0.13317005,2024-11
2024-11-04,1,1,0.9150294,2024-11
2024-11-04,1,1,0.91887665,2024-11
2024-11-04,1,0,0.49570188,2024-11
2024-11-06,1,1,0.96831703,2024-11
2024-11-06,1,1,0.98864913,2024-11
2024-11-06,1,1,0.837954,2024-11
2024-11-06,1,1,0.9466126,2024-11
2024-11-06,1,0,0.04277934,2024-11
2024-11-06,0,0,0.08398416,2024-11
2024-11-06,1,1,0.9428872,2024-11
2024-11-06,1,1,0.9884701,2024-11
2024-11-06,0,0,0.43338898,2024-11
2024-11-06,1,0,0.05641554,2024-11
2024-11-06,1,1,0.9696684,2024-11
2024-11-06,1,0,0.026429856,2024-11
2024-11-07,0,0,0.032260265,2024-11
2024-11-07,1,1,0.98702234,2024-11
2024-11-07,1,1,0.71444494,2024-11
2024-11-08,0,0,0.09523666,2024-11
2024-11-08,1,1,0.8963588,2024-11
2024-11-08,1,1,0.9706787,2024-11
2024-11-08,1,1,0.98934144,2024-11
2024-11-08,1,1,0.88014406,2024-11
2024-11-08,0,1,0.9495971,2024-11
2024-11-08,1,1,0.9747927,2024-11
2024-11-08,1,0,0.43711567,2024-11
2024-11-08,1,1,0.9912238,2024-11
2024-11-08,1,1,0.67269075,2024-11
2024-11-08,1,1,0.7894996,2024-11
2024-11-08,1,1,0.61922026,2024-11
2024-11-08,1,1,0.9912077,2024-11
2024-11-09,0,1,0.9946576,2024-11
2024-11-09,0,0,0.4265731,2024-11
2024-11-09,1,1,0.9874051,2024-11
2024-11-09,1,1,0.89184374,2024-11
2024-11-10,0,1,0.8319052,2024-11
2024-11-10,1,1,0.8054231,2024-11
2024-11-10,0,0,0.29992178,2024-11
2024-11-10,0,1,0.9949005,2024-11
2024-11-10,0,0,0.08867553,2024-11
2024-11-10,1,1,0.9784908,2024-11
2024-11-10,1,0,0.492058,2024-11
2024-11-10,0,0,0.3946691,2024-11
2024-11-10,0,0,0.02937573,2024-11
2024-11-10,1,0,0.10656042,2024-11
2024-11-10,1,1,0.99677306,2024-11
2024-11-11,1,0,0.4697457,2024-11
2024-11-11,1,0,0.258869,2024-11
2024-11-11,0,0,0.05306928,2024-11
2024-11-11,1,1,0.97727877,2024-11
2024-11-11,0,0,0.30366442,2024-11
2024-11-12,0,1,0.9942029,2024-11
2024-11-12,1,0,0.16252929,2024-11
2024-11-12,1,1,0.99158186,2024-11
2024-11-12,0,0,0.064024314,2024-11
2024-11-12,1,1,0.99473023,2024-11
2024-11-12,0,0,0.01695993,2024-11
2024-11-12,1,1,0.953126,2024-11
2024-11-12,1,0,0.09891534,2024-11
2024-11-13,1,1,0.6655158,2024-11
2024-11-13,1,0,0.3512761,2024-11
2024-11-13,1,0,0.060939018,2024-11
2024-11-13,1,1,0.71525943,2024-11
2024-11-13,1,0,0.24792963,2024-11
2024-11-13,1,1,0.97000575,2024-11
2024-11-13,0,0,0.056395654,2024-11
2024-11-13,0,1,0.9345855,2024-11
2024-11-13,0,0,0.39474714,2024-11
2024-11-13,1,1,0.88644683,2024-11
2024-11-13,1,1,0.99228454,2024-11
2024-11-14,1,0,0.03679746,2024-11
2024-11-15,0,0,0.39749593,2024-11
2024-11-15,1,0,0.31032953,2024-11
2024-11-15,1,1,0.9887222,2024-11
2024-11-15,1,0,0.021228455,2024-11
2024-11-15,1,1,0.8588552,2024-11
2024-11-15,0,1,0.83401084,2024-11
2024-11-15,1,0,0.49654785,2024-11
2024-11-15,1,1,0.9626592,2024-11
2024-11-15,0,0,0.25180218,2024-11
2024-11-15,1,1,0.97712815,2024-11
2024-11-15,0,1,0.6686716,2024-11
2024-11-15,1,1,0.9645228,2024-11
2024-11-16,1,1,0.8363229,2024-11
2024-11-16,1,1,0.949351,2024-11
2024-11-16,1,1,0.9618979,2024-11
2024-11-16,1,0,0.41052657,2024-11
2024-11-16,0,0,0.21912743,2024-11
2024-11-17,1,1,0.86696523,2024-11
2024-11-17,1,0,0.43903157,2024-11
2024-11-17,1,1,0.9811319,2024-11
2024-11-17,0,0,0.1121,2024-11
2024-11-17,1,1,0.93798226,2024-11
2024-11-17,1,1,0.7374246,2024-11
2024-11-17,1,1,0.96660435,2024-11
2024-11-17,0,0,0.029547,2024-11
2024-11-17,0,1,0.92759216,2024-11
2024-11-17,1,1,0.91536766,2024-11
2024-11-18,0,0,0.33979687,2024-11
2024-11-18,1,0,0.06488794,2024-11
2024-11-18,0,1,0.6842392,2024-11
2024-11-18,1,0,0.28407773,2024-11
2024-11-18,1,1,0.9904633,2024-11
2024-11-18,1,1,0.97663784,2024-11
2024-11-18,0,1,0.9436266,2024-11
2024-11-18,1,0,0.3517012,2024-11
2024-11-19,1,0,0.21075588,2024-11
2024-11-19,1,1,0.799898,2024-11
2024-11-19,0,1,0.7486446,2024-11
2024-11-19,1,1,0.98466337,2024-11
2024-11-19,1,0,0.069575265,2024-11
2024-11-19,1,1,0.98519707,2024-11
2024-11-20,0,0,0.04053754,2024-11
2024-11-20,1,1,0.90708405,2024-11
2024-11-20,1,1,0.94173455,2024-11
2024-11-20,1,1,0.81707233,2024-11
2024-11-20,1,1,0.97952044,2024-11
2024-11-20,1,1,0.866888,2024-11
2024-11-20,1,1,0.99407417,2024-11
2024-11-20,1,1,0.9533191,2024-11
2024-11-21,1,0,0.21825999,2024-11
2024-11-21,0,1,0.6135999,2024-11
2024-11-21,1,1,0.7723224,2024-11
2024-11-21,1,0,0.102253094,2024-11
2024-11-22,0,0,0.4093742,2024-11
2024-11-22,0,0,0.009635276,2024-11
2024-11-22,1,1,0.97523016,2024-11
2024-11-22,1,1,0.9040935,2024-11
2024-11-22,1,1,0.9942516,2024-11
2024-11-22,0,0,0.006328583,2024-11
2024-11-22,1,1,0.5704024,2024-11
2024-11-22,1,1,0.7003419,2024-11
2024-11-23,1,0,0.2229127,2024-11
2024-11-23,1,1,0.8721923,2024-11
2024-11-23,0,1,0.6621638,2024-11
2024-11-23,0,1,0.9494882,2024-11
2024-11-23,1,1,0.9854936,2024-11
2024-11-23,1,0,0.3192135,2024-11
2024-11-23,0,1,0.9314649,2024-11
2024-11-24,0,0,0.4566364,2024-11
2024-11-24,0,0,0.010366204,2024-11
2024-11-24,1,1,0.9915997,2024-11
2024-11-24,1,1,0.9932287,2024-11
2024-11-24,1,1,0.77893525,2024-11
2024-11-24,1,1,0.87956,2024-11
2024-11-25,0,1,0.5512104,2024-11
2024-11-25,0,0,0.49253774,2024-11
2024-11-25,1,1,0.9783779,2024-11
2024-11-25,1,1,0.9085538,2024-11
2024-11-25,0,0,0.027903458,2024-11
2024-11-25,1,1,0.9872635,2024-11
2024-11-25,1,0,0.24375795,2024-11
2024-11-25,0,0,0.063866876,2024-11
2024-11-25,0,0,0.27651832,2024-11
2024-11-26,0,0,0.01005121,2024-11
2024-11-26,0,1,0.7436879,2024-11
2024-11-26,0,1,0.5601952,2024-11
2024-11-26,0,0,0.21490708,2024-11
2024-11-26,1,1,0.9640942,2024-11
2024-11-27,0,0,0.30479783,2024-11
2024-11-27,0,0,0.15530619,2024-11
2024-11-27,0,1,0.8241617,2024-11
2024-11-27,0,0,0.4443872,2024-11
2024-11-27,0,1,0.78413653,2024-11
2024-11-27,0,0,0.02065206,2024-11
2024-11-27,1,1,0.99316835,2024-11
2024-11-27,0,1,0.9698868,2024-11
2024-11-27,0,0,0.006869036,2024-11
2024-11-27,0,0,0.016533773,2024-11
2024-11-27,1,1,0.94211257,2024-11
2024-11-27,1,1,0.991514,2024-11
2024-11-27,0,0,0.20750403,2024-11
2024-11-27,1,1,0.7590688,2024-11
2024-11-29,0,0,0.021531345,2024-11
2024-11-29,0,0,0.11637557,2024-11
2024-11-29,1,1,0.967512,2024-11
2024-11-29,0,0,0.43060017,2024-11
2024-11-29,1,1,0.97066575,2024-11
2024-11-29,0,0,0.050958723,2024-11
2024-11-29,1,1,0.9915631,2024-11
2024-11-29,1,0,0.08582062,2024-11
2024-11-29,0,0,0.16080165,2024-11
2024-11-29,1,0,0.037102126,2024-11
2024-11-30,0,1,0.90064543,2024-11
2024-11-30,0,0,0.18429764,2024-11
2024-11-30,1,1,0.9861887,2024-11
2024-11-30,1,0,0.4440023,2024-11
2024-11-30,0,0,0.060169015,2024-11
2024-12-01,0,0,0.33007416,2024-12
2024-12-01,0,1,0.7210257,2024-12
2024-12-01,0,0,0.11680773,2024-12
2024-12-01,1,0,0.36451668,2024-12
2024-12-01,0,0,0.012398216,2024-12
2024-12-01,1,1,0.9941724,2024-12
2024-12-01,1,1,0.85568756,2024-12
2024-12-01,1,1,0.92842174,2024-12
2024-12-01,1,1,0.9576102,2024-12
2024-12-01,1,0,0.1434118,2024-12
2024-12-02,1,1,0.92751735,2024-12
2024-12-02,1,1,0.98108417,2024-12
2024-12-02,1,1,0.9846526,2024-12
2024-12-02,1,1,0.99527884,2024-12
2024-12-03,0,1,0.84200144,2024-12
2024-12-03,1,1,0.9919742,2024-12
2024-12-03,0,0,0.00832558,2024-12
2024-12-03,1,1,0.73594064,2024-12
2024-12-03,1,1,0.91085386,2024-12
