Feature,Old_Importance,New_Importance,Change,Pct_Change
def_elo_diff,0.057382934,0.21813925,0.16075632,280.14658
off_elo_diff,0.13506323,0.18742937,0.052366138,38.771572
injury_matchup_advantage,0.034134716,0.039077464,0.0049427487,14.480123
net_fatigue_score,0.045741327,0.038859308,-0.0068820193,-15.045518
ewma_pace_diff,0.03605338,0.03748596,0.001432579,3.973494
home_composite_elo,0.036047608,0.03706433,0.0010167211,2.8204956
injury_impact_diff,0.036216173,0.036834236,0.0006180629,1.7065936
ewma_efg_diff,0.033924833,0.036028855,0.0021040216,6.20201
projected_possession_margin,0.034248874,0.035299122,0.0010502487,3.0665207
net_free_throw_advantage,0.033387817,0.034662034,0.0012742169,3.8164127
away_composite_elo,0.034599356,0.03392336,-0.0006759949,-1.9537787
pace_efficiency_interaction,0.03462451,0.032968804,-0.0016557053,-4.781888
offense_vs_defense_matchup,0.035447184,0.031315874,-0.0041313097,-11.654832
three_point_matchup,0.03337129,0.030988881,-0.002382407,-7.139092
total_foul_environment,0.032927234,0.030465623,-0.0024616104,-7.47591
ewma_orb_diff,0.032924015,0.029482443,-0.0034415722,-10.453076
injury_shock_diff,0.036242783,0.029135067,-0.007107716,-19.611397
league_offensive_context,0.03504305,0.027539194,-0.007503856,-21.41325
ewma_chaos_home,0.03384825,0.026750045,-0.0070982035,-20.970669
ewma_vol_3p_diff,0.033497635,0.026550854,-0.0069467817,-20.738125
season_progress,0.03336984,0.0,-0.03336984,-100.0
star_mismatch,0.041319285,0.0,-0.041319285,-100.0
star_power_leverage,0.03258748,0.0,-0.03258748,-100.0
ewma_tov_diff,0.03433004,0.0,-0.03433004,-100.0
ewma_foul_synergy_home,0.03366715,0.0,-0.03366715,-100.0
