date,game,bet_side,bet_team,edge,win_prob,odds_american,odds_decimal,stake,result,pnl,is_favorite,month
2024-10-22,NYK @ BOS,away,NYK,0.4414809243810689,0.5212355256080627,1100.0,12.0,100,LOSS,-100.0,False,2024-10
2024-10-23,IND @ DET,away,IND,0.1677577604997389,0.5212355256080627,170.0,2.7,100,WIN,161.84000000000003,False,2024-10
2024-10-23,CLE @ TOR,home,TOR,0.2720548418963828,0.43790850043296814,470.0,5.7,100,LOSS,-100.0,False,2024-10
2024-10-23,MIL @ PHI,home,PHI,0.12273169677114043,0.47876447439193726,165.0,2.65,100,LOSS,-100.0,False,2024-10
2024-10-23,GSW @ POR,home,POR,0.14294166469360026,0.43790850043296814,225.0,3.25,100,LOSS,-100.0,False,2024-10
2024-10-23,CHI @ NOP,away,CHI,0.13651738507907524,0.5212355256080627,145.0,2.45,100,LOSS,-100.0,False,2024-10
2024-10-23,MEM @ UTA,home,UTA,0.14110676603796013,0.5896656513214111,114.0,2.1399999999999997,100,LOSS,-100.0,False,2024-10
2024-10-23,PHX @ LAC,home,LAC,0.10970481817353478,0.47876447439193726,160.0,2.6,100,LOSS,-100.0,False,2024-10
2024-10-23,CHA @ HOU,away,CHA,0.21674834612088328,0.5212355256080627,210.0,3.1,100,WIN,199.92,False,2024-10
2024-10-24,BOS @ WAS,home,WAS,0.3581538992059743,0.43790850043296814,1100.0,12.0,100,LOSS,-100.0,False,2024-10
2024-10-24,SAS @ DAL,away,SAS,0.226769707318628,0.5212355256080627,220.0,3.2,100,LOSS,-100.0,False,2024-10
2024-10-25,IND @ NYK,away,IND,0.30566628548329383,0.6363636255264282,185.0,2.85,100,LOSS,-100.0,False,2024-10
2024-10-25,DET @ CLE,away,DET,0.32074949887659254,0.5212355256080627,370.0,4.7,100,LOSS,-100.0,False,2024-10
2024-10-25,CHA @ ATL,away,CHA,0.2646200629643032,0.41033434867858887,550.0,6.5,100,LOSS,-100.0,False,2024-10
2024-10-25,GSW @ UTA,home,UTA,0.1695573574460053,0.47876447439193726,210.0,3.1,100,LOSS,-100.0,False,2024-10
2024-10-25,CHI @ MIL,away,CHI,0.2794147574715051,0.5212355256080627,290.0,3.9,100,WIN,276.08,False,2024-10
2024-10-25,NOP @ POR,home,POR,0.2804585343754792,0.5896656513214111,210.0,3.1,100,LOSS,-100.0,False,2024-10
2024-10-25,MEM @ HOU,away,MEM,0.3939878657712775,0.7075471878051758,200.0,3.0,100,LOSS,-100.0,False,2024-10
2024-10-26,BOS @ DET,home,DET,0.24648811725102154,0.2924528419971466,2000.0,21.0,100,LOSS,-100.0,False,2024-10
2024-10-26,MIA @ CHA,home,CHA,0.2864567820842449,0.47876447439193726,390.0,4.9,100,LOSS,-100.0,False,2024-10
2024-10-26,CLE @ WAS,home,WAS,0.2130672743380319,0.38461539149284363,450.0,5.5,100,LOSS,-100.0,False,2024-10
2024-10-26,OKC @ CHI,home,CHI,0.10397116660447644,0.2924528419971466,400.0,5.0,100,LOSS,-100.0,False,2024-10
2024-10-26,TOR @ MIN,away,TOR,0.15121834782086102,0.19718307256698608,2000.0,21.0,100,LOSS,-100.0,False,2024-10
2024-10-26,DAL @ PHX,home,PHX,0.3858095684796206,0.8028169274330139,130.0,2.3,100,WIN,123.75999999999996,False,2024-10
2024-10-27,MIL @ BKN,away,MIL,0.6786982874909798,0.7075471878051758,3300.0,34.0,100,LOSS,-100.0,False,2024-10
2024-10-27,ATL @ OKC,away,ATL,0.2662019685610829,0.5212355256080627,270.0,3.7,100,LOSS,-100.0,False,2024-10
2024-10-27,LAC @ GSW,away,LAC,0.38128668322126813,0.615384578704834,310.0,4.1,100,WIN,295.11999999999995,False,2024-10
2024-10-28,IND @ ORL,away,IND,0.4550659156027641,0.6363636255264282,420.0,5.2,100,LOSS,-100.0,False,2024-10
