bet_number,bet_side,model_prob,edge,bet_amount,profit,result
0,home,0.82974327,0.32974327,100,100,win
1,home,0.6751399,0.1751399,100,100,win
2,home,0.9063585,0.40635848,100,-100,loss
3,home,0.841215,0.341215,100,-100,loss
4,away,0.19679287,0.30320716,100,100,win
5,away,0.25070024,0.24929976,100,-100,loss
6,away,0.35595194,0.1440481,100,100,win
7,away,0.37664846,0.123351574,100,100,win
8,away,0.15912457,0.34087545,100,100,win
9,home,0.8053859,0.3053859,100,-100,loss
10,home,0.57928973,0.079289734,100,-100,loss
11,away,0.18528304,0.31471694,100,-100,loss
12,away,0.15604597,0.34395403,100,100,win
13,away,0.39551303,0.10448694,100,-100,loss
14,home,0.7460722,0.24607217,100,-100,loss
15,away,0.3572876,0.14271241,100,100,win
16,away,0.1579042,0.3420958,100,-100,loss
17,home,0.7814722,0.2814722,100,-100,loss
18,home,0.79072285,0.29072285,100,100,win
19,home,0.6980532,0.19805318,100,-100,loss
20,away,0.041459687,0.45854032,100,100,win
21,home,0.65387374,0.15387374,100,100,win
22,home,0.53195924,0.031959236,100,100,win
23,home,0.82529193,0.32529193,100,100,win
24,away,0.36216208,0.13783789,100,-100,loss
25,home,0.7475274,0.24752742,100,100,win
26,home,0.7258166,0.22581661,100,100,win
27,away,0.2850864,0.2149136,100,-100,loss
28,away,0.3368043,0.16319573,100,-100,loss
29,home,0.8278405,0.3278405,100,100,win
30,home,0.8251735,0.3251735,100,100,win
31,away,0.14612207,0.3538779,100,100,win
32,away,0.13226213,0.3677379,100,100,win
33,away,0.045034416,0.4549656,100,100,win
34,away,0.47654748,0.02345252,100,100,win
35,away,0.3119842,0.18801582,100,100,win
36,home,0.91844106,0.41844106,100,-100,loss
37,away,0.19054562,0.30945438,100,-100,loss
38,home,0.87531877,0.37531877,100,100,win
39,home,0.8262472,0.32624722,100,100,win
40,home,0.5301658,0.030165792,100,-100,loss
41,home,0.7535214,0.25352138,100,-100,loss
43,home,0.6670867,0.16708672,100,100,win
44,away,0.34069625,0.15930378,100,100,win
45,home,0.9350293,0.43502933,100,-100,loss
