feature,importance
off_elo_diff,0.20890506
home_composite_elo,0.095927
away_composite_elo,0.0892585
def_elo_diff,0.063130274
league_offensive_context,0.05252935
net_fatigue_score,0.04362004
ewma_pace_diff,0.03861813
ewma_efg_diff,0.037377667
injury_matchup_advantage,0.033787146
offense_vs_defense_matchup,0.03270763
pace_efficiency_interaction,0.03207637
ewma_foul_synergy_home,0.031258952
projected_possession_margin,0.031096
net_free_throw_advantage,0.030462561
three_point_matchup,0.03037119
total_foul_environment,0.030022785
season_progress,0.029973378
ewma_vol_3p_diff,0.029840458
ewma_chaos_home,0.029601645
star_power_leverage,0.029435946
