feature,importance
off_elo_diff,0.19255343
def_elo_diff,0.10287515
league_offensive_context,0.0996566
net_fatigue_score,0.047066063
ewma_efg_diff,0.04362501
ewma_pace_diff,0.042836413
offense_vs_defense_matchup,0.037193887
injury_matchup_advantage,0.036498602
pace_efficiency_interaction,0.03644097
ewma_orb_diff,0.03591301
season_progress,0.034078028
ewma_tov_diff,0.033357974
net_free_throw_advantage,0.03325335
projected_possession_margin,0.033102322
ewma_foul_synergy_home,0.032728344
ewma_chaos_home,0.032690644
total_foul_environment,0.03229211
ewma_vol_3p_diff,0.03215515
three_point_matchup,0.031205894
star_power_leverage,0.030477075
