feature,importance
off_elo_diff,0.209602
home_composite_elo,0.09439117
away_composite_elo,0.08829086
def_elo_diff,0.063516065
league_offensive_context,0.053486533
net_fatigue_score,0.043395717
ewma_pace_diff,0.037875894
ewma_efg_diff,0.036666114
injury_matchup_advantage,0.034492705
pace_efficiency_interaction,0.032761358
ewma_orb_diff,0.032734785
offense_vs_defense_matchup,0.031398017
ewma_chaos_home,0.031188913
total_foul_environment,0.031116426
season_progress,0.03094194
projected_possession_margin,0.03076155
three_point_matchup,0.029481078
star_power_leverage,0.029389925
ewma_tov_diff,0.029346349
ewma_vol_3p_diff,0.029162548
