feature,importance
off_elo_diff,0.22520939
home_composite_elo,0.112880506
def_elo_diff,0.07322909
league_offensive_context,0.05937789
net_fatigue_score,0.05031365
ewma_pace_diff,0.045043796
ewma_efg_diff,0.0435319
injury_matchup_advantage,0.039261177
offense_vs_defense_matchup,0.037389103
pace_efficiency_interaction,0.03716812
total_foul_environment,0.036371447
projected_possession_margin,0.035687987
season_progress,0.035658505
net_free_throw_advantage,0.03459359
star_power_leverage,0.03373594
ewma_vol_3p_diff,0.03364424
ewma_chaos_home,0.033497535
three_point_matchup,0.033406135
