feature,importance
off_elo_diff,0.1516837
net_fatigue_score,0.05412204
home_composite_elo,0.049439393
ewma_pace_diff,0.049129616
injury_impact_diff,0.048955735
injury_shock_diff,0.048222035
offense_vs_defense_matchup,0.046783213
league_offensive_context,0.046680674
pace_efficiency_interaction,0.046592545
ewma_chaos_home,0.046476427
star_power_leverage,0.046352826
total_foul_environment,0.046156507
def_elo_diff,0.045955162
projected_possession_margin,0.04584994
season_progress,0.045815043
net_free_throw_advantage,0.04564624
ewma_vol_3p_diff,0.045601048
ewma_efg_diff,0.045446567
three_point_matchup,0.045091327
