feature,importance,pct
away_composite_elo,0.14095996,14.095996
net_fatigue_score,0.060630985,6.0630984
league_offensive_context,0.04953736,4.9537363
ewma_efg_diff,0.045343556,4.5343556
injury_shock_diff,0.04174976,4.174976
star_power_leverage,0.040645827,4.064583
ewma_pace_diff,0.039972477,3.9972477
ewma_orb_diff,0.03928399,3.928399
off_elo_diff,0.039026298,3.9026299
ewma_vol_3p_diff,0.038429618,3.8429618
def_elo_diff,0.038219072,3.8219073
ewma_tov_diff,0.037448116,3.7448115
ewma_chaos_home,0.037280258,3.7280257
ewma_foul_synergy_home,0.037141006,3.7141006
offense_vs_defense_matchup,0.03616379,3.6163788
season_progress,0.036025923,3.6025922
three_point_matchup,0.035757978,3.5757978
net_free_throw_advantage,0.03535305,3.535305
projected_possession_margin,0.03459877,3.4598773
pace_efficiency_interaction,0.03454188,3.4541879
injury_impact_diff,0.03404695,3.4046953
home_composite_elo,0.03401998,3.401998
total_foul_environment,0.0338234,3.38234
star_mismatch,0.0,0.0
