feature,importance,cumulative_importance,rank
ewma_efg_diff,0.04352959,0.04352959,1
off_elo_diff,0.038621906,0.082151495,2
def_elo_diff,0.032356296,0.114507794,3
altitude_game,0.03182777,0.14633557,4
away_back_to_back,0.03165949,0.17799506,5
away_rest_days,0.03139826,0.20939332,6
ewma_pace_diff,0.03116361,0.24055693,7
home_composite_elo,0.030229395,0.27078632,8
ewma_tov_diff,0.029423863,0.30021018,9
home_ewma_3p_pct,0.029156737,0.32936692,10
injury_shock_diff,0.029126499,0.35849342,11
away_3in4,0.02884833,0.38734174,12
ewma_vol_3p_diff,0.027963752,0.4153055,13
injury_shock_away,0.027886096,0.4431916,14
ewma_chaos_home,0.027605858,0.47079745,15
home_back_to_back,0.027565394,0.49836284,16
rest_advantage,0.027257046,0.52561986,17
ewma_orb_diff,0.027049202,0.55266905,18
away_ewma_tov_pct,0.026785031,0.57945406,19
home_orb,0.026371954,0.605826,20
injury_shock_home,0.026310222,0.6321362,21
away_orb,0.025970725,0.6581069,22
ewma_net_chaos,0.02594326,0.6840502,23
total_foul_environment,0.025351882,0.7094021,24
ewma_foul_synergy_home,0.02525857,0.7346606,25
away_ewma_3p_pct,0.025224019,0.75988466,26
injury_impact_abs,0.024929207,0.7848139,27
home_rest_days,0.024755077,0.80956894,28
ewma_foul_synergy_away,0.0247094,0.83427835,29
away_ewma_fta_rate,0.024376199,0.85865456,30
injury_impact_diff,0.024367357,0.8830219,31
star_mismatch,0.023804426,0.9068263,32
away_star_missing,0.02376903,0.93059534,33
fatigue_mismatch,0.02333969,0.953935,34
home_star_missing,0.02321995,0.97715497,35
home_3in4,0.02284489,0.9999999,36
