feature,importance
off_elo_diff,0.037980143
ewma_efg_diff,0.03725816
away_back_to_back,0.034616597
away_rest_days,0.033179235
altitude_game,0.032438777
def_elo_diff,0.03140294
home_composite_elo,0.030741682
ewma_pace_diff,0.030728312
ewma_tov_diff,0.029171107
rest_advantage,0.028534524
injury_shock_away,0.028186582
ewma_vol_3p_diff,0.028169133
home_back_to_back,0.028000414
injury_shock_diff,0.027357899
home_rest_days,0.027357243
away_3in4,0.027340405
home_ewma_3p_pct,0.027309932
away_ewma_3p_pct,0.027219472
injury_shock_home,0.027074039
home_orb,0.026981061
ewma_net_chaos,0.026945308
away_ewma_tov_pct,0.026838966
ewma_chaos_home,0.026761223
ewma_foul_synergy_home,0.02637431
ewma_orb_diff,0.026369115
away_orb,0.026205856
total_foul_environment,0.026097769
injury_impact_abs,0.025700804
ewma_foul_synergy_away,0.025199547
injury_impact_diff,0.024858521
away_ewma_fta_rate,0.024653338
fatigue_mismatch,0.024073068
home_star_missing,0.02339787
away_star_missing,0.023336716
star_mismatch,0.02157753
home_3in4,0.020562345
