feature,importance
h2h_win_rate_l3y,0.09184051
vs_efg_diff,0.06334865
vs_net_rating,0.055526502
is_b2b_diff,0.052787226
h_off_rating,0.051435053
injury_shock_home,0.050577078
a_def_rating,0.049711533
h_def_rating,0.04850226
injury_shock_away,0.047994126
vs_ftr_diff,0.047178444
off_elo_diff,0.04619654
composite_elo_diff,0.045504555
rest_days_diff,0.04508536
vs_tov,0.044770822
a_off_rating,0.04430154
def_elo_diff,0.04382778
expected_pace,0.043557327
elo_diff,0.043023083
injury_shock_diff,0.042915136
vs_reb_diff,0.041916456
injury_impact_diff,0.0
sos_diff,0.0
home_star_missing,0.0
away_star_missing,0.0
star_mismatch,0.0
