feature,importance
ewma_efg_diff,0.0687242
altitude_game,0.0531922
ewma_pace_diff,0.0451068
home_ewma_3p_pct,0.037974283
away_ewma_3p_pct,0.035600096
ewma_tov_diff,0.035573956
away_ewma_tov_pct,0.035284664
ewma_orb_diff,0.03359482
ewma_chaos_home,0.033576775
away_back_to_back,0.033184804
home_back_to_back,0.03288864
ewma_vol_3p_diff,0.032360204
away_rest_days,0.031998865
away_orb,0.030926868
away_3in4,0.0309123
rest_advantage,0.03055576
total_foul_environment,0.02997444
ewma_net_chaos,0.029602302
off_elo_diff,0.029587643
injury_impact_abs,0.029303078
home_rest_days,0.029242666
home_orb,0.029169146
ewma_foul_synergy_home,0.028952084
def_elo_diff,0.02885247
home_composite_elo,0.02842976
away_ewma_fta_rate,0.028135544
ewma_foul_synergy_away,0.027930038
fatigue_mismatch,0.027925175
injury_impact_diff,0.027037805
home_3in4,0.024402654
