feature,importance
ewma_efg_diff,0.05267818
away_3in4,0.042421415
home_back_to_back,0.04193287
def_elo_diff,0.040480252
away_back_to_back,0.040081903
home_composite_elo,0.035964943
rest_advantage,0.03577776
fatigue_mismatch,0.03507585
ewma_tov_diff,0.034259196
away_ewma_3p_pct,0.03326201
away_ewma_tov_pct,0.03314612
altitude_game,0.033137128
off_elo_diff,0.03268613
ewma_net_chaos,0.031694088
ewma_chaos_home,0.031348705
home_orb,0.0312852
home_rest_days,0.031285144
home_ewma_3p_pct,0.030463083
ewma_foul_synergy_away,0.030373786
away_orb,0.03032872
away_ewma_fta_rate,0.030176532
ewma_orb_diff,0.030069731
injury_impact_abs,0.029993763
ewma_vol_3p_diff,0.029450333
total_foul_environment,0.029222047
injury_impact_diff,0.02919812
away_rest_days,0.028910449
ewma_pace_diff,0.028901756
ewma_foul_synergy_home,0.028863182
home_3in4,0.027531674
