feature,importance
ewma_efg_diff,0.0908234
fatigue_mismatch,0.04955647
ewma_pace_diff,0.041092772
altitude_game,0.040544275
away_back_to_back,0.039649613
def_elo_diff,0.038384464
ewma_tov_diff,0.03660866
away_ewma_tov_pct,0.03656129
away_rest_days,0.035176992
rest_advantage,0.034545265
home_back_to_back,0.034251157
ewma_chaos_home,0.03285991
away_3in4,0.032225337
home_ewma_3p_pct,0.031594325
injury_impact_abs,0.030325005
home_rest_days,0.03004523
ewma_vol_3p_diff,0.029267222
away_ewma_3p_pct,0.029252945
off_elo_diff,0.029117243
ewma_orb_diff,0.02811052
injury_impact_diff,0.027181003
total_foul_environment,0.026817197
home_composite_elo,0.026513191
ewma_foul_synergy_home,0.026258357
ewma_net_chaos,0.024773767
home_orb,0.02389989
away_ewma_fta_rate,0.023828654
away_orb,0.023706984
ewma_foul_synergy_away,0.023657307
home_3in4,0.023371577
