,correlation
ewma_efg_diff,0.0983420939022824
off_elo_diff,0.07689695748365757
home_ewma_3p_pct,0.054689203205477085
away_back_to_back,0.05308440849798633
ewma_tov_diff,0.051013036909617615
def_elo_diff,0.04942572335160062
ewma_pace_diff,0.04583075579744701
injury_shock_diff,0.04536385522263907
away_ewma_3p_pct,0.04437513112914455
ewma_orb_diff,0.044266748710670135
altitude_game,0.04202879207602572
away_3in4,0.041027626856326126
away_ewma_tov_pct,0.04033981110873147
injury_shock_away,0.03615935525727937
home_orb,0.034399698255139166
home_back_to_back,0.029991106340940737
ewma_vol_3p_diff,0.02900556607365213
ewma_chaos_home,0.027408607527954123
away_orb,0.025524476181444662
injury_shock_home,0.019338794905884
home_composite_elo,0.017028744093170938
fatigue_mismatch,0.01490404946597323
ewma_foul_synergy_home,0.013062509778739805
home_3in4,0.01298747222816002
total_foul_environment,0.011817659114327961
injury_impact_diff,0.01176684298455669
ewma_net_chaos,0.009454085541314026
star_mismatch,0.00888655145454722
away_star_missing,0.008243823672535596
home_rest_days,0.005261296493529474
away_rest_days,0.004659685863377609
ewma_foul_synergy_away,0.004653996386599908
away_ewma_fta_rate,0.0046539963865999
home_star_missing,0.003020544630589133
injury_impact_abs,0.002317065040534407
rest_advantage,0.001511245127817648
