feature,importance,constraint
ewma_efg_diff,0.047174808,1
season_year,0.043085404,0
season_year_normalized,0.04053191,0
away_rest_days,0.03559807,0
off_elo_diff,0.035101395,1
home_back_to_back,0.03444592,-1
altitude_game,0.034134034,0
ewma_pace_diff,0.028401852,0
rest_advantage,0.02737973,1
away_ewma_tov_pct,0.027111711,0
home_rest_days,0.026433418,0
injury_shock_home,0.024698192,-1
injury_shock_away,0.023745066,0
home_ewma_3p_pct,0.023717215,1
ewma_chaos_home,0.023152383,0
ewma_vol_3p_diff,0.022544675,0
ewma_foul_synergy_home,0.022277838,1
ewma_net_chaos,0.022105524,0
away_orb,0.021462573,0
season_month,0.02144338,0
season_progress,0.021161078,0
home_3in4,0.021109927,0
ewma_foul_synergy_away,0.020780351,0
ewma_tov_diff,0.020729309,-1
star_mismatch,0.020640178,1
total_foul_environment,0.02042252,0
fatigue_mismatch,0.020345442,1
games_into_season,0.02021755,0
injury_impact_abs,0.020106833,-1
home_composite_elo,0.020054072,1
injury_impact_diff,0.019989105,1
away_3in4,0.019955767,-1
away_ewma_fta_rate,0.019931892,0
home_orb,0.01991344,1
away_ewma_3p_pct,0.019700617,0
away_star_missing,0.019571194,1
home_star_missing,0.019173192,-1
def_elo_diff,0.01837919,1
injury_shock_diff,0.017866125,1
endgame_phase,0.017711794,0
ewma_orb_diff,0.017695317,1
away_back_to_back,0.0,-1
is_season_opener,0.0,0
