number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration,user_attrs_std_logloss,state
0,0.6685343268177046,2025-12-10 15:40:04.760601,2025-12-10 15:40:19.869668,0 days 00:00:15.109067,0.4936111842654619,0.49359671220172163,0.72926216630837,9.016725176148132,0.003765334551892149,9,6,143,3505,1.7718847354806828,0.00013289448722869195,1.2819459112971967,0.8025966679962728,3480,0.004035355364293358,COMPLETE
1,0.6598870678284016,2025-12-10 15:40:19.871667,2025-12-10 15:40:22.654519,0 days 00:00:02.782852,0.7148538589793427,0.6591670111852694,0.5673332336277457,2.0924079097806274,0.009373695213782608,8,4,31,2564,0.005660670699258891,0.01578232781079559,0.9736419905302216,0.5008724804193886,419,0.004109771051767752,COMPLETE
2,0.6748853721881188,2025-12-10 15:40:22.656522,2025-12-10 15:40:34.382569,0 days 00:00:11.726047,0.764526911140863,0.502314474212375,0.42554772699599874,14.48448049611839,0.0038693851442566578,7,4,80,3811,7.085721663941605,0.006724850206557251,0.7586032684038303,0.7258280128741234,3533,0.0015590862757447618,COMPLETE
3,0.6676809570230191,2025-12-10 15:40:34.384572,2025-12-10 15:40:35.425299,0 days 00:00:01.040727,0.9455922412472693,0.5552679889600102,0.41891368661337014,7.801020317667162,0.04006145726637175,8,6,22,1453,0.1906609163818847,0.0012856617791467942,1.2817507766587353,0.6723473005611986,211,0.004667288581150727,COMPLETE
4,0.6626713133293758,2025-12-10 15:40:35.427599,2025-12-10 15:40:40.685454,0 days 00:00:05.257855,0.4530955012311517,0.5175897174514872,0.9070308292627142,5.8301593453422305,0.0035806433227444138,3,12,135,1504,0.004247116662617146,9.38480071590954,0.9140519960161535,0.7288449883460968,1502,0.003436724389676973,COMPLETE
5,0.669814369191432,2025-12-10 15:40:40.687456,2025-12-10 15:40:42.169529,0 days 00:00:01.482073,0.9921321619603104,0.8633468615779945,0.44100285402387396,12.231921426822513,0.0065272949403592665,0,7,25,320,1.7423847570785822,2.3661540064603184,1.1627622080115674,0.8412083394147218,319,0.0022985374670104913,COMPLETE
6,0.6633763338130138,2025-12-10 15:40:42.169529,2025-12-10 15:40:46.746865,0 days 00:00:04.577336,0.5985388149115896,0.4381350101716142,0.7428139697551568,10.94409267507096,0.010126768713618247,1,5,21,1503,0.6688747907702062,21.051180519608735,0.9833289550971696,0.8747068842315764,1501,0.00308506791855338,COMPLETE
7,0.6608861501272509,2025-12-10 15:40:46.749627,2025-12-10 15:40:48.866172,0 days 00:00:02.116545,0.6962773578186345,0.7136396976291964,0.8240319489750085,1.6183714048995668,0.015977198119311607,5,9,116,394,0.0001543743400929225,0.6583585310972688,0.888613588645796,0.7087024586632229,392,0.004876681662106703,COMPLETE
8,0.6693225740851337,2025-12-10 15:40:48.868172,2025-12-10 15:40:53.885148,0 days 00:00:05.016976,0.5372788992949735,0.44618794589727584,0.8155531261986768,13.945464785138595,0.00931966457574572,8,11,41,896,7.058660227368648,0.6315715218918064,1.2228763541126306,0.6257106076695964,895,0.003007811141652574,COMPLETE
9,0.6773373979495475,2025-12-10 15:40:53.887157,2025-12-10 15:41:01.609054,0 days 00:00:07.721897,0.937654779954096,0.5908020849831184,0.8440920853402344,6.406616829393845,0.004614197434794599,5,4,135,1143,8.092609705736072,14.601030210159497,0.7041712783187144,0.6966382330536078,1141,0.00245655081221058,COMPLETE
10,0.6626658762420938,2025-12-10 15:41:01.611062,2025-12-10 15:41:02.454142,0 days 00:00:00.843080,0.7911199304669072,0.7451248400891636,0.5629302738095459,0.5305856419673998,0.12815718607604476,10,2,62,2803,0.011603382396558021,0.013318357804136587,1.1182935390040567,0.4425538660931258,45,0.0052065520668755656,COMPLETE
11,0.6615340457559512,2025-12-10 15:41:02.458163,2025-12-10 15:41:05.768955,0 days 00:00:03.310792,0.6754566897147197,0.6947795253466212,0.5711339407407771,1.0486097246796922,0.02277498683774726,5,9,114,2385,0.00013325998472247296,0.12465256186243773,0.9036207337007255,0.5250591312372992,374,0.0036765678674514786,COMPLETE
12,0.6633682985882952,2025-12-10 15:41:05.768955,2025-12-10 15:41:08.188073,0 days 00:00:02.419118,0.6751542777533099,0.7067179960063168,0.5884276532744147,3.3758068650244795,0.01914070350139829,6,9,99,2922,0.00013321901140987132,0.177048347248412,0.8380520441851512,0.5598617922275336,466,0.004312934277759117,COMPLETE
13,0.6595635954867076,2025-12-10 15:41:08.190074,2025-12-10 15:41:09.728173,0 days 00:00:01.538099,0.8277835757409298,0.8408419579752193,0.6529802878441932,3.3458073598418894,0.01930445138913053,3,9,60,2444,0.001471468269913532,0.020992213825643848,1.043090807889878,0.4199307284659434,219,0.004389186099738206,COMPLETE
14,0.6605690011868732,2025-12-10 15:41:09.730172,2025-12-10 15:41:10.521208,0 days 00:00:00.791036,0.8230500705016002,0.9877878998087375,0.6612064318772832,3.6399839277550603,0.040611657406087895,2,2,53,2209,0.002925137840392669,0.014136493855216302,1.0597845066517744,0.4026070658091992,138,0.006312125310368966,COMPLETE
15,0.6596952925319925,2025-12-10 15:41:10.523216,2025-12-10 15:41:11.359325,0 days 00:00:00.836109,0.8553156778402317,0.8310788945838457,0.639854908464754,3.935642011804085,0.04145078198052682,3,8,76,3001,0.03203455744612434,0.0017651129277410635,0.9861246778349687,0.482761554269581,116,0.004456092900332911,COMPLETE
16,0.6595654096570549,2025-12-10 15:41:11.361334,2025-12-10 15:41:11.915010,0 days 00:00:00.553676,0.8676569213870073,0.8595034610979431,0.6712919042841343,4.7507836019969965,0.08473095514323732,3,10,75,3272,0.07518289840263777,0.0007580614653549626,1.0721166191478293,0.4693122539863764,59,0.0028698290511467114,COMPLETE
