number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.5367330666212184,2025-12-11 23:47:24.352201,2025-12-11 23:48:04.647613,0 days 00:00:40.295412,0.7598528437324805,0.6803345035229627,0.5174250836504598,0.46805592132730955,0.023688639503640783,9,11,17,2902,14.161451555920909,0.00012494702536130708,1.093981970432399,0.562397808134481,COMPLETE
1,0.5452397459958236,2025-12-11 23:48:04.667075,2025-12-11 23:48:17.121276,0 days 00:00:12.454201,0.6835558684167139,0.5418481581956126,0.5873687420594126,1.5742692948967134,0.016305687346221478,8,7,11,1363,5.842892970704363,0.005266514841107984,0.9912139968434073,0.6727780074568463,COMPLETE
2,0.5461636112984148,2025-12-11 23:48:17.124282,2025-12-11 23:48:34.259924,0 days 00:00:17.135642,0.784665661176,0.7896896099223678,0.5195154778955838,1.822634555704315,0.015837031559118753,7,10,5,2028,16.16794696232922,0.0027000447632122603,0.9195344228012768,0.5682096494749166,COMPLETE
3,0.5469811270366491,2025-12-11 23:48:34.261946,2025-12-11 23:48:44.356203,0 days 00:00:10.094257,0.5935133228268233,0.6560204063533432,0.6987566853061946,2.7279612062363463,0.027551959649510765,8,9,5,1244,10.934205586865593,0.0007389678458573185,1.0939169255529118,0.6035119926400068,COMPLETE
4,0.5297010494142609,2025-12-11 23:48:44.358209,2025-12-11 23:49:05.386063,0 days 00:00:21.027854,0.5975990992289794,0.6166031869068447,0.5135681866731614,0.2654775061557585,0.08699593128513321,3,10,24,2790,5.426980635477918,0.7838134236608698,0.971350665338718,0.578393144967658,COMPLETE
5,0.5507844843932603,2025-12-11 23:49:05.386063,2025-12-11 23:49:08.658838,0 days 00:00:03.272775,0.5016566351370807,0.7446384285364502,0.5596147044602517,2.960660809801552,0.03488960745139221,0,11,6,1281,14.137146876952343,0.2664298103063688,1.0542540693371891,0.808897907718663,COMPLETE
6,0.5442335388355803,2025-12-11 23:49:08.660846,2025-12-11 23:49:23.549452,0 days 00:00:14.888606,0.5975549966080241,0.7188818535014192,0.5932946965146987,0.9926940745579476,0.02282788775990513,1,12,18,1231,12.751149427104263,1.475659183168782,0.9944429850323899,0.5254233401144095,COMPLETE
7,0.536696415825509,2025-12-11 23:49:23.552453,2025-12-11 23:49:42.175066,0 days 00:00:18.622613,0.5076257380232285,0.5323674280979913,0.6282623055075649,1.4813867890931722,0.05167075260023277,5,9,21,2522,0.628583713734685,0.09783031073802864,0.9628711962152654,0.7090931317527976,COMPLETE
8,0.5343348556657114,2025-12-11 23:49:42.178073,2025-12-11 23:49:55.960460,0 days 00:00:13.782387,0.5483663861762014,0.7789092957027719,0.5869254358741304,0.6863944964748674,0.08082886378162035,8,8,20,1498,16.16240759128834,0.09469896936366107,1.0742921180375435,0.5307919639315172,COMPLETE
9,0.5520664820100165,2025-12-11 23:49:55.962478,2025-12-11 23:50:05.421545,0 days 00:00:09.459067,0.5683805487625825,0.6281323365878769,0.5330155773583031,2.6882738997704796,0.015366326576125024,5,9,21,2786,16.36029531844986,1.10801896152525,0.9013904261062382,0.6272013899887455,COMPLETE
10,0.5507359781843159,2025-12-11 23:50:05.423548,2025-12-11 23:50:13.283465,0 days 00:00:07.859917,0.6872250581517096,0.5959336221516062,0.787931223783626,2.3415952974482215,0.010549834396310425,5,6,13,2149,19.847253309206735,4.589288654886295,0.9017387360619006,0.8630659181130071,COMPLETE
11,0.5493288002603008,2025-12-11 23:50:13.287217,2025-12-11 23:50:17.465654,0 days 00:00:04.178437,0.5131312434206765,0.7184664946276332,0.6937569322109723,2.9943025136313506,0.04219912999006828,0,12,10,1724,19.89034544388654,0.24520508497609958,1.040232519078752,0.8289856202403852,COMPLETE
12,0.5466920816507591,2025-12-11 23:50:17.468660,2025-12-11 23:50:25.490535,0 days 00:00:08.021875,0.556070788999683,0.593670480776635,0.5584100948684111,2.34641937453277,0.04055174510135912,2,10,24,2424,8.436663670222613,0.020467520759485165,1.0269050570765312,0.7811241421065476,COMPLETE
13,0.5515600327768209,2025-12-11 23:50:25.494555,2025-12-11 23:50:35.019388,0 days 00:00:09.524833,0.5579657376635576,0.7383936092336267,0.6630170489579282,2.3698970655939986,0.010081314276903544,3,8,15,1735,16.61722386523162,0.4678182510931558,1.045323041880216,0.7270762681980703,COMPLETE
14,0.5517451339126976,2025-12-11 23:50:35.021391,2025-12-11 23:50:47.197044,0 days 00:00:12.175653,0.6289825450625763,0.6783932325909295,0.6687538571076025,2.3173579701830906,0.010137886751181994,4,8,15,1717,16.949221729123092,2.0851627930151375,0.9426566671262245,0.6741874601327157,COMPLETE
15,0.5492718363595295,2025-12-11 23:50:47.199051,2025-12-11 23:51:01.560291,0 days 00:00:14.361240,0.665886402638504,0.663546342144665,0.7618629104993402,1.9811862402658829,0.014534343250700462,6,8,21,2375,17.653384458477298,3.528814097994536,0.9362581502783344,0.652684493138533,COMPLETE
16,0.5492991180368305,2025-12-11 23:51:01.562307,2025-12-11 23:51:11.878266,0 days 00:00:10.315959,0.6319882392338024,0.6338966025350109,0.728216549355108,2.618023458333634,0.012971589401660672,4,7,15,1735,10.647487437826928,0.06703921158618224,0.9454551755806256,0.6280807469287448,COMPLETE
17,0.5491818981510953,2025-12-11 23:51:11.882019,2025-12-11 23:51:22.068495,0 days 00:00:10.186476,0.7150157229202755,0.5647616296407323,0.6467844746084274,1.9962515621442103,0.017496354856196293,10,6,18,2719,13.692229824874039,1.5972773022435596,0.9031778922430352,0.7399155999714933,COMPLETE
