game_date,home_team,away_team,target_moneyline_win,model_prob,model_pred,month
2023-10-24,DEN,LAL,1,0.6294105,1,2023-10
2023-10-24,GSW,PHX,0,0.5956277,1,2023-10
2023-10-25,MIA,DET,1,0.6601309,1,2023-10
2023-10-25,CHA,ATL,1,0.62524563,1,2023-10
2023-10-25,IND,WAS,1,0.5736333,1,2023-10
2023-10-25,NYK,BOS,0,0.4662412,0,2023-10
2023-10-25,ORL,HOU,1,0.5196252,1,2023-10
2023-10-25,BKN,CLE,0,0.5089835,1,2023-10
2023-10-25,CHI,OKC,0,0.57844186,1,2023-10
2023-10-25,MEM,NOP,0,0.5609798,1,2023-10
2023-10-25,UTA,SAC,0,0.68681335,1,2023-10
2023-10-25,SAS,DAL,0,0.4549113,0,2023-10
2023-10-25,LAC,POR,1,0.70418125,1,2023-10
2023-10-25,TOR,MIN,1,0.64547485,1,2023-10
2023-10-26,MIL,PHI,1,0.6661907,1,2023-10
2023-10-26,LAL,PHX,1,0.51049894,1,2023-10
2023-10-27,BOS,MIA,1,0.58416325,1,2023-10
2023-10-27,CHA,DET,0,0.67184454,1,2023-10
2023-10-27,CHI,TOR,1,0.6226179,1,2023-10
2023-10-27,ATL,NYK,0,0.47834593,0,2023-10
2023-10-27,CLE,OKC,0,0.66010976,1,2023-10
2023-10-27,SAC,GSW,0,0.33902296,0,2023-10
2023-10-27,SAS,HOU,1,0.6406225,1,2023-10
2023-10-27,UTA,LAC,1,0.6569501,1,2023-10
2023-10-27,POR,ORL,0,0.6536757,1,2023-10
2023-10-27,MEM,DEN,0,0.50647223,1,2023-10
2023-10-27,DAL,BKN,1,0.67895406,1,2023-10
2023-10-28,DET,CHI,1,0.48112556,0,2023-10
2023-10-28,WAS,MEM,1,0.6278556,1,2023-10
2023-10-28,PHX,UTA,1,0.63120604,1,2023-10
2023-10-28,NOP,NYK,1,0.62086964,1,2023-10
2023-10-28,TOR,PHI,0,0.59274834,1,2023-10
2023-10-28,MIN,MIA,1,0.63234377,1,2023-10
2023-10-28,CLE,IND,0,0.6305062,1,2023-10
2023-10-29,OKC,DEN,0,0.51873004,1,2023-10
2023-10-29,HOU,GSW,0,0.37917593,0,2023-10
2023-10-29,MIL,ATL,0,0.6921591,1,2023-10
2023-10-29,PHI,POR,1,0.6135677,1,2023-10
2023-10-29,LAC,SAS,1,0.6707275,1,2023-10
2023-10-29,SAC,LAL,1,0.53253424,1,2023-10
2023-10-30,WAS,BOS,0,0.46906477,0,2023-10
2023-10-30,MEM,DAL,0,0.53935754,1,2023-10
2023-10-30,CHA,BKN,0,0.45376116,0,2023-10
2023-10-30,IND,CHI,0,0.6074496,1,2023-10
2023-10-30,ATL,MIN,1,0.52316517,1,2023-10
2023-10-30,MIL,MIA,1,0.64266497,1,2023-10
2023-10-30,OKC,DET,1,0.53493017,1,2023-10
2023-10-30,DEN,UTA,1,0.5267346,1,2023-10
2023-10-30,LAL,ORL,1,0.6359602,1,2023-10
2023-10-30,NOP,GSW,0,0.6244994,1,2023-10
2023-10-30,TOR,POR,0,0.56442314,1,2023-10
2023-10-31,CLE,NYK,0,0.583051,1,2023-10
2023-10-31,PHX,SAS,0,0.60306484,1,2023-10
2023-10-31,LAC,ORL,1,0.72407115,1,2023-10
2023-11-01,OKC,NOP,0,0.52971953,1,2023-11
2023-11-01,DET,POR,0,0.44172376,0,2023-11
2023-11-01,TOR,MIL,1,0.62377083,1,2023-11
2023-11-01,BOS,IND,1,0.68042475,1,2023-11
2023-11-01,MIA,BKN,0,0.58657724,1,2023-11
2023-11-01,NYK,CLE,0,0.51255935,1,2023-11
2023-11-01,UTA,MEM,1,0.698345,1,2023-11
2023-11-01,HOU,CHA,1,0.57699424,1,2023-11
2023-11-01,MIN,DEN,1,0.4976642,0,2023-11
2023-11-01,DAL,CHI,1,0.5148919,1,2023-11
2023-11-01,GSW,SAC,1,0.70099485,1,2023-11
2023-11-01,LAL,LAC,1,0.3650585,0,2023-11
2023-11-01,ATL,WAS,1,0.6836457,1,2023-11
2023-11-02,NOP,DET,1,0.69993234,1,2023-11
2023-11-02,PHI,TOR,1,0.63899726,1,2023-11
2023-11-02,PHX,SAS,0,0.5978508,1,2023-11
2023-11-02,UTA,ORL,0,0.69076383,1,2023-11
2023-11-03,IND,CLE,1,0.5352576,1,2023-11
2023-11-03,MIL,NYK,1,0.7218437,1,2023-11
2023-11-03,MIA,WAS,1,0.6800559,1,2023-11
2023-11-03,CHI,BKN,0,0.6295191,1,2023-11
2023-11-03,OKC,GSW,0,0.46273765,0,2023-11
2023-11-03,DEN,DAL,1,0.5922636,1,2023-11
2023-11-03,POR,MEM,1,0.67125785,1,2023-11
