game_id,home_team,away_team,date,season,home_composite_elo,away_composite_elo,off_elo_diff,def_elo_diff,net_fatigue_score,ewma_efg_diff,ewma_pace_diff,ewma_tov_diff,ewma_orb_diff,ewma_vol_3p_diff,injury_impact_diff,injury_shock_diff,star_mismatch,ewma_chaos_home,ewma_foul_synergy_home,total_foul_environment,league_offensive_context,season_progress,pace_efficiency_interaction,projected_possession_margin,three_point_matchup,net_free_throw_advantage,star_power_leverage,offense_vs_defense_matchup,target_spread,target_spread_cover,target_moneyline_win,target_over_under,target_game_total,injury_matchup_advantage,home_score,away_score,actual_spread,total_points,margin_target,margin_bin,game_date,predicted_margin,raw_prob,calibrated_prob,home_ml_odds,away_ml_odds,market_prob,edge,is_favorite,won,stake,profit,raw_edge
22400062,LAL,MIN,2024-10-22,2024-25,1537.7171138943622,1500.0,37.71711389436223,49.783906734133325,0.06324342,0.0161571465822862,5.568217314485111,0.0014411632157858,-0.0260084499040661,-1.802303619395716,5.154947594313359,-4.366803940519791,1,12.652595853899124,28.95347522077069,59.14481882908047,8.935956897890819,0.0121951219512195,2492.5807945894994,-0.0245672866882802,0.0045985171577744,-0.0675508254640245,5.154947594313359,-8728.033937285223,7,1,1,1,213,0.1775943404931697,110,103,7,213,7,Close Win (5 to 10),2024-10-22,4.168814,0.6219635590437773,0.6291793313069909,-105,-115,0.5121951219512195,0.11698420935577136,True,True,1.0,0.9523809523809523,0.10976843709255779
22400065,MIA,ORL,2024-10-23,2024-25,1501.2939699533515,1500.0,1.293969953351734,141.04143464422464,0.06324342,0.0249692597661492,-3.1226553991890995,-0.0008494077519369,-0.0069293365302557,5.162169277836988,1.9864030844558145,-3.783648771667544,0,20.1611430009626,23.782263564778656,50.04770828030264,8.935956897890819,0.048780487804878,-1397.838919808697,-0.0077787442821926,0.148301433913071,-0.094640335480291,0.0,24097.59703341728,-19,0,0,1,213,0.1065878381053133,97,116,-19,213,-19,Big Loss (-20 to -10),2024-10-23,3.7321463,0.6095334656269987,0.6165228113440195,-160,124,0.6153846153846154,0.0011381959594041202,True,False,1.0,-1.0,-0.0058511497576166915
22400075,DEN,OKC,2024-10-24,2024-25,1580.5840292112052,1500.0,80.58402921120523,149.74589333508334,0.4204340099999999,0.0058573934035031,-3.3987420010226828,-0.0020303052940868,0.0351657911629091,0.2012620114039052,-5.460893146817221,-3.985405878977269,-1,11.74778567041018,21.136067800505984,44.86928180896953,8.935956897890819,0.1707317073170731,-1521.4275160338611,0.0331354858688223,0.0026102710227189,-0.1523125444171048,5.460893146817221,5403.053170049579,-15,0,0,1,189,0.019570463526889,87,102,-15,189,-15,Big Loss (-20 to -10),2024-10-24,9.63192,0.7635377187001784,0.7874632713026445,-130,110,0.5652173913043478,0.2222458799982967,True,False,1.0,-1.0,0.1983203273958306
22400085,LAL,PHX,2024-10-25,2024-25,1517.0502148304254,1440.7643486333684,76.28586619705698,-117.26476255239368,0.01999554,-0.0103935461194831,3.918110402640124,0.0234051630825544,0.0177898674708799,-3.5535874174564697,-4.072921489174528,-3.639382651589939,0,12.533506870532454,28.458164699337985,54.404516544772136,8.935956897890819,0.2804878048780488,-109.21367628041298,0.0411950305534343,0.2498814702194721,-0.0721175986751598,-0.0,6928.196948686233,7,1,1,1,239,0.0538951699610845,123,116,7,239,7,Close Win (5 to 10),2024-10-25,4.83134,0.6405803276076618,0.6767676767676768,-122,102,0.5495495495495496,0.1272181272181272,True,True,1.0,0.819672131147541,0.09103077805811222
22400092,MEM,ORL,2024-10-26,2024-25,1600.4165323206112,1488.2634584121342,112.15307390847693,173.824302280442,0.14007959,-0.0508558510598957,3.915361286439961,-0.0103473401000103,0.1085196610531519,-1.2116014058286808,13.1125715605594,5.892837949888724,1,13.608155555826768,26.27830186340633,55.324808211931646,8.935956897890819,0.3780487804878049,420.3876456988337,0.0981723209531416,0.027485787570462,-0.0529904157196653,13.1125715605594,69529.7209121768,13,1,1,1,235,-0.0029805292814738,124,111,13,235,13,Big Win (10 to 20),2024-10-26,8.1925745,0.7292264016251658,0.7722419928825622,-166,130,0.6240601503759399,0.14818184250662236,True,True,1.0,0.6024096385542169,0.10516625124922596
22400104,BOS,MIL,2024-10-28,2024-25,1583.2224608541185,1543.8405575218972,39.38190333222133,-297.08992492653624,0.35359103,0.0336731384049358,-1.518662819758731,0.0495394397847901,0.0707127610954805,10.669988635527474,-5.731250261174386,-2.5617852197192743,0,13.711044952307994,20.927301706382018,49.65288467047149,8.935956897890819,0.524390243902439,262.4873155322166,0.1202522008802706,0.7178526347802507,-0.1253253476124959,-0.0,78255.26686059001,11,1,1,1,227,0.0146590430196052,119,108,11,227,11,Big Win (10 to 20),2024-10-28,7.4842997,0.711474488537658,0.7675840978593272,-315,230,0.7590361445783133,0.008547953281013987,True,True,1.0,0.31746031746031744,-0.04756165604065521
22400114,MIN,DAL,2024-10-29,2024-25,1573.6816089776062,1369.0183042057574,204.6633047718488,-259.8301507309361,0.35250543,0.0462910569755491,-1.9769985485374373,-0.0232354057739933,-0.0262356726825153,-1.7705901540062925,-3.396540978267777,2.14141505052727,0,14.244375843043974,29.11678394377596,49.70184689312742,8.935956897890819,0.6341463414634146,-184.7183907553158,-0.0494710784565085,-0.0748388977183147,-0.1653553166575981,-0.0,-45715.318571054486,-6,0,0,1,234,-0.0787920738981861,114,120,-6,234,-6,Close Loss (-10 to -5),2024-10-29,12.92259,0.832209980600922,0.8810572687224669,-175,135,0.6363636363636364,0.24469363235883057,True,False,1.0,-1.0,0.19584634423728564
22400126,GSW,NOP,2024-10-30,2024-25,1573.5994349389853,1369.121089915892,204.4783450230932,-192.0101177790252,0.14007959,0.0284487443535512,0.7506833614793038,0.0118885647914945,0.0353335840322335,10.16221573570596,0.0,-0.2219742170745586,0,13.99341706134108,19.409132395415405,46.06637936827006,8.935956897890819,0.7682926829268293,92.56187238626876,0.047222148823728,0.1555380833767592,-0.1335495404997096,0.0,-37514.083449105565,15,1,1,1,193,0.0053060716849502,104,89,15,193,15,Big Win (10 to 20),2024-10-30,12.051756,0.8154190624417996,0.8546099290780141,-162,136,0.6183206106870229,0.2362893183909912,True,True,1.0,0.6172839506172839,0.1970984517547767
22400148,DEN,UTA,2024-11-02,2024-25,1576.1869470916272,1357.5531140135324,218.6338330780948,-179.57998073548197,-0.18220355,0.0636394700017973,-3.162726084820889,0.0599327883769317,-0.0139128499448436,-4.785082059119311,-2.5729883099451207,-4.68676573744426,0,12.866056720157724,29.240899938608777,55.811957136652026,8.935956897890819,1.0853658536585369,-797.9715156872935,0.0460199384320881,-0.4517838084852219,-0.120990012049808,-0.0,-46898.412319928,26,1,1,1,232,0.0911217721929436,129,103,26,232,26,Blowout Win (>20),2024-11-02,11.249044,0.7990491830733274,0.8546099290780141,-575,425,0.8518518518518519,0.002758077226162281,True,True,1.0,0.17391304347826086,-0.052802668778524464
22400159,MIA,SAC,2024-11-04,2024-25,1498.132228010421,1504.239725762129,-6.107497751708024,-13.15865668746801,0.1099575399999999,-0.0089761655521339,-3.833676449132114,0.0025585639914489,0.0128166122272667,2.6476333535302885,-0.0934439681892793,-3.4890460640244108,0,20.69813035034807,26.3785751755907,54.0997484692743,8.935956897890819,1.1341463414634143,251.44674643071264,0.0153751762187156,0.118871884667447,-0.0980329727332,-0.0,567.8720316177848,-1,0,0,1,221,0.0826427379849652,110,111,-1,221,-1,Tight Loss (-5 to 0),2024-11-04,3.9887676,0.6168528586301164,0.6291793313069909,-115,-105,0.5348837209302325,0.09429561037675838,True,False,1.0,-1.0,0.0819691376998839
