,home_composite_elo,away_composite_elo,off_elo_diff,def_elo_diff,net_fatigue_score,ewma_efg_diff,ewma_pace_diff,ewma_tov_diff,ewma_orb_diff,ewma_vol_3p_diff,injury_matchup_advantage,ewma_chaos_home,ewma_foul_synergy_home,total_foul_environment,league_offensive_context,season_progress,pace_efficiency_interaction,projected_possession_margin,three_point_matchup,net_free_throw_advantage,star_power_leverage,offense_vs_defense_matchup
home_composite_elo,1.0,0.17773093466031925,0.6371200290265374,0.3551282362701136,0.010750579571068772,0.14499260720157459,0.02156056729402138,0.09974252042021195,-0.03326331415224359,0.051252244427472345,0.04559617729646476,0.11290070363747748,-0.07713992305519142,-0.08979871039913861,-0.013832732454792699,-0.021368161815492684,-0.021265852437540755,0.01473978369332397,0.03311518514997435,-0.14560184453216923,0.036510791630341134,-0.024589448110688316
away_composite_elo,0.17773093466031925,1.0,-0.6371270151149449,-0.3601908324836566,-0.025128675055430184,-0.16937848511285797,-0.016533678501804906,-0.0951200388794543,0.028696128717239602,-0.05737767254171992,-0.024626929031113694,0.04378084753567271,-0.05458640623829997,-0.08683200720975492,-0.022922518075720027,-0.010792918739347979,0.04056644626442793,-0.016846420554224,0.019235033313482534,-0.07192891083903938,0.04050856500812256,-0.023591602415749584
off_elo_diff,0.6371200290265374,-0.6371270151149449,1.0,0.5778627673259114,0.032760295415400875,0.23996069648673232,-0.0018895971687760598,0.15006264362245536,-0.05254291624353623,0.0865922925955066,0.06084350483344171,0.057235295551667044,-0.02053445040697341,-0.0028030502615595822,0.0067164291507221755,-0.009113133608696368,-0.04642163958800646,0.01987252562188366,0.011489507914438953,-0.05493923389311126,-0.001728787296897645,0.0001108136285921166
def_elo_diff,0.3551282362701136,-0.3601908324836566,0.5778627673259114,1.0,0.042617349977009764,0.14575985166096025,0.10993535336524661,0.04931631213288687,-0.03644106378347174,0.017228701012452906,0.09242335533190262,0.009919697757912616,-0.004462133671032474,-0.007385000344473604,0.0033128271993738776,-0.003942922708842283,-0.04193472474194923,-0.011147769787749012,0.008438577268639428,-0.048115970287878146,0.0024685163588480797,0.0007971128858956642
net_fatigue_score,0.010750579571068772,-0.025128675055430184,0.032760295415400875,0.042617349977009764,1.0,0.03413815130237432,-0.03544332958285821,-0.014363910521861922,-0.0020395475155878867,-0.002955546316730541,0.011474240752048045,-0.014458183687548478,-0.0025173709167850807,0.019962113898569635,-0.010824966716444877,0.019615750527434982,0.016472412571366446,-0.008419999170787975,0.00010682092555313313,0.00853412911111919,0.003026842237257584,-0.0240705665493066
ewma_efg_diff,0.14499260720157459,-0.16937848511285797,0.23996069648673232,0.14575985166096025,0.03413815130237432,1.0,0.0104509442084852,0.018523372854289313,-0.400127126347552,0.1829647117803166,0.02831740116752045,0.03016617550867344,-0.010025014599274087,0.007084458849931644,3.74962138108187e-05,0.0027391221581232607,-0.013740319644148184,-0.3604989639399677,0.00463523239582799,-0.29559407210695954,0.011180853635447834,-0.004389593236659678
ewma_pace_diff,0.02156056729402138,-0.016533678501804906,-0.0018895971687760598,0.10993535336524661,-0.03544332958285821,0.0104509442084852,1.0,-0.08628987559022612,0.036911872489533766,-0.04347005584819657,0.019242516918244645,-0.06380866079740163,0.03784589058880507,-0.003457682324752288,-0.007435276204800745,0.0016919425601850727,0.07625853220344006,-0.005251088771630317,-0.007795643298034851,-0.005548570668083523,-0.0042069923932656576,0.012486658768321866
ewma_tov_diff,0.09974252042021195,-0.0951200388794543,0.15006264362245536,0.04931631213288687,-0.014363910521861922,0.018523372854289313,-0.08628987559022612,1.0,-0.0683978885594512,0.03839472115899951,0.004414736094605704,0.02790730216611985,-0.09167665767448104,-0.0102960956170364,0.011134003792443503,-0.009538771331594613,-0.02497758309095058,0.3922048030821944,-0.003163151333084319,0.03825667254432752,0.0033325207471693696,0.005112366428201967
ewma_orb_diff,-0.03326331415224359,0.028696128717239602,-0.05254291624353623,-0.03644106378347174,-0.0020395475155878867,-0.400127126347552,0.036911872489533766,-0.0683978885594512,1.0,0.010052609327051138,-0.0602719285116391,-0.03402875272375487,-0.021003597298534835,-0.0003380049125137128,0.012068080695255928,0.0029188854601445336,0.013386629705774165,0.8908977004973965,-0.0007077118507015697,0.12742470781471432,-0.0036484864201032307,-0.0008753821045431173
ewma_vol_3p_diff,0.051252244427472345,-0.05737767254171992,0.0865922925955066,0.017228701012452906,-0.002955546316730541,0.1829647117803166,-0.04347005584819657,0.03839472115899951,0.010052609327051138,1.0,0.021696556446340276,0.05282487193860154,-0.12240410358733413,-0.009662724402831212,-0.006027371474932627,-0.0023789221248803677,-0.01159528086745664,0.02674885243273819,-0.0047746340393046965,0.04006722314260389,0.009499459666789839,0.0013066512965318501
